grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
39.771,-86.1535,39,12,27
39.771,-86.153,36,9,27
39.771,-86.1525,82,12,70
39.771,-86.152,43,7,36
39.771,-86.1515,36,7,29
39.771,-86.151,37,8,29
39.771,-86.1505,44,9,35
39.7715,-86.1665,60,10,50
39.7715,-86.166,23,6,17
39.7715,-86.1655,17,4,13
39.7715,-86.163,43,14,29
39.7715,-86.1615,34,11,23
39.7715,-86.161,18,3,15
39.7715,-86.1605,6,3,3
39.7715,-86.16,3,3,0
39.7715,-86.1595,18,7,11
39.7715,-86.158,5,3,2
39.7715,-86.1575,36,12,24
39.7715,-86.156,52,14,38
39.7715,-86.1555,15,7,8
39.7715,-86.155,15,6,9
39.7715,-86.1545,19,5,14
39.7715,-86.154,50,10,40
39.7715,-86.1525,35,6,29
39.7715,-86.152,34,4,30
39.7715,-86.151,4,3,1
39.7715,-86.1505,31,8,23
39.772,-86.1665,30,7,23
39.772,-86.163,34,12,22
39.772,-86.162,7,3,4
39.772,-86.1615,50,11,39
39.772,-86.161,20,5,15
39.772,-86.1595,16,5,11
39.772,-86.1575,41,18,23
39.772,-86.156,38,9,29
39.772,-86.1555,12,7,5
39.772,-86.154,54,11,43
39.772,-86.1535,5,2,3
39.772,-86.1525,26,4,22
39.772,-86.152,42,6,36
39.772,-86.1505,31,9,22
39.7725,-86.1665,31,8,23
39.7725,-86.1635,7,5,2
39.7725,-86.163,45,15,30
39.7725,-86.1625,22,6,16
39.7725,-86.162,18,4,14
39.7725,-86.1615,83,11,72
39.7725,-86.161,39,10,29
39.7725,-86.1605,23,3,20
39.7725,-86.16,25,6,19
39.7725,-86.1595,35,11,24
39.7725,-86.159,35,6,29
39.7725,-86.1585,29,7,22
39.7725,-86.158,43,12,31
39.7725,-86.1575,48,14,34
39.7725,-86.156,38,9,29
39.7725,-86.1555,18,7,11
39.7725,-86.154,37,10,27
39.7725,-86.1535,23,4,19
39.7725,-86.153,27,5,22
39.7725,-86.1525,38,4,34
39.7725,-86.152,44,8,36
39.7725,-86.1515,8,4,4
39.7725,-86.151,8,4,4
39.7725,-86.1505,31,7,24
39.773,-86.1665,37,6,31
39.773,-86.164,3,2,1
39.773,-86.1635,5,3,2
39.773,-86.163,39,14,25
39.773,-86.1615,21,9,12
39.773,-86.161,23,8,15
39.773,-86.1595,43,9,34
39.773,-86.1575,30,13,17
39.773,-86.156,37,11,26
39.773,-86.154,29,9,20
39.773,-86.152,32,4,28
39.773,-86.1505,34,10,24
39.7735,-86.1665,34,8,26
39.7735,-86.1645,6,3,3
39.7735,-86.164,4,3,1
39.7735,-86.163,30,12,18
39.7735,-86.1615,8,3,5
39.7735,-86.161,29,10,19
39.7735,-86.1595,12,7,5
39.7735,-86.1575,18,11,7
39.7735,-86.156,31,8,23
39.7735,-86.1555,30,9,21
39.7735,-86.154,31,10,21
39.7735,-86.1525,32,11,21
39.7735,-86.152,72,11,61
39.7735,-86.1515,38,7,31
39.7735,-86.151,31,8,23
39.7735,-86.1505,51,12,39
39.774,-86.1665,34,6,28
39.774,-86.166,38,6,32
39.774,-86.1655,32,7,25
39.774,-86.165,28,6,22
39.774,-86.1645,36,13,23
39.774,-86.164,38,13,25
39.774,-86.1635,46,11,35
39.774,-86.163,45,14,31
39.774,-86.1625,29,10,19
39.774,-86.162,29,11,18
39.774,-86.1615,39,13,26
39.774,-86.161,42,15,27
39.774,-86.1605,29,12,17
39.774,-86.16,23,11,12
39.774,-86.1595,31,14,17
39.774,-86.159,28,12,16
39.774,-86.1585,22,9,13
39.774,-86.158,28,11,17
39.774,-86.1575,54,20,34
39.774,-86.157,51,18,33
39.774,-86.1565,51,18,33
39.774,-86.156,61,17,44
39.774,-86.1555,54,13,41
39.774,-86.155,25,9,16
39.774,-86.1545,23,10,13
39.774,-86.154,34,10,24
39.774,-86.1535,21,5,16
39.774,-86.153,20,5,15
39.774,-86.1525,19,6,13
39.774,-86.152,39,9,30
39.774,-86.1515,13,5,8
39.774,-86.151,10,5,5
39.774,-86.1505,24,5,19
39.7745,-86.1665,19,3,16
39.7745,-86.1655,3,2,1
39.7745,-86.165,4,2,2
39.7745,-86.163,26,9,17
39.7745,-86.161,21,9,12
39.7745,-86.1595,13,8,5
39.7745,-86.1575,28,9,19
39.7745,-86.156,30,7,23
39.7745,-86.1555,30,7,23
39.7745,-86.154,24,8,16
39.7745,-86.152,28,7,21
39.7745,-86.1505,24,5,19
39.775,-86.1665,24,7,17
39.775,-86.166,3,2,1
39.775,-86.163,37,12,25
39.775,-86.161,18,5,13
39.775,-86.16,6,2,4
39.775,-86.1595,51,10,41
39.775,-86.159,16,6,10
39.775,-86.1585,11,4,7
39.775,-86.158,21,9,12
39.775,-86.1575,38,14,24
39.775,-86.157,33,9,24
39.775,-86.1565,28,6,22
39.775,-86.156,67,16,51
39.775,-86.1555,58,15,43
39.775,-86.155,45,14,31
39.775,-86.1545,37,10,27
39.775,-86.154,42,10,32
39.775,-86.1535,34,11,23
39.775,-86.153,40,14,26
39.775,-86.1525,36,12,24
39.775,-86.152,41,13,28
39.775,-86.1515,17,8,9
39.775,-86.151,19,9,10
39.775,-86.1505,35,11,24
39.7755,-86.1665,16,3,13
39.7755,-86.163,31,9,22
39.7755,-86.1625,13,4,9
39.7755,-86.162,14,4,10
39.7755,-86.1615,17,4,13
39.7755,-86.161,25,8,17
39.7755,-86.1605,18,5,13
39.7755,-86.16,21,7,14
39.7755,-86.1595,52,10,42
39.7755,-86.159,37,10,27
39.7755,-86.1585,27,10,17
39.7755,-86.158,28,8,20
39.7755,-86.1575,41,16,25
39.7755,-86.157,34,13,21
39.7755,-86.1565,27,10,17
39.7755,-86.156,25,11,14
39.7755,-86.1555,44,10,34
39.7755,-86.155,27,6,21
39.7755,-86.1545,6,4,2
39.7755,-86.154,26,7,19
39.7755,-86.152,43,11,32
39.7755,-86.1505,25,7,18
39.776,-86.1665,17,4,13
39.776,-86.163,22,6,16
39.776,-86.161,22,10,12
39.776,-86.1595,25,8,17
39.776,-86.159,15,3,12
39.776,-86.1575,21,10,11
39.776,-86.1555,24,5,19
39.776,-86.154,27,7,20
39.776,-86.152,40,10,30
39.776,-86.1505,18,7,11
39.7765,-86.1665,16,3,13
39.7765,-86.163,18,5,13
39.7765,-86.161,23,9,14
39.7765,-86.1595,34,10,24
39.7765,-86.159,30,8,22
39.7765,-86.1575,17,7,10
39.7765,-86.1555,34,10,24
39.7765,-86.155,12,5,7
39.7765,-86.1545,11,4,7
39.7765,-86.154,33,8,25
39.7765,-86.152,30,7,23
39.7765,-86.1505,13,4,9
39.777,-86.1665,8,1,7
39.777,-86.163,24,6,18
39.777,-86.161,22,7,15
39.777,-86.1595,18,7,11
39.777,-86.159,22,4,18
39.777,-86.1575,21,5,16
39.777,-86.1555,16,10,6
39.777,-86.154,10,4,6
39.777,-86.1525,5,3,2
39.777,-86.152,29,6,23
39.7775,-86.163,29,8,21
39.7775,-86.161,21,8,13
39.7775,-86.1595,39,9,30
39.7775,-86.159,46,10,36
39.7775,-86.1585,36,13,23
39.7775,-86.158,40,16,24
39.7775,-86.1575,45,11,34
39.7775,-86.157,48,19,29
39.7775,-86.1565,39,14,25
39.7775,-86.156,24,11,13
