pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
222,67011,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,7,460
4,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28,3458
4,67011,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,3,960
50,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,5743
50,66736,660,125330,None,None,None,None,None,None,None,None,None,None,None,None,16,2979
50,66736,727,125330,None,None,None,None,None,None,None,None,None,None,None,None,13,5980
59,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,66,3381
59,66736,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,8,516
59,66736,805,521550,None,None,None,None,None,None,None,None,None,None,None,None,22,7948
49,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42,1917
49,66736,491,125330,None,None,None,None,None,None,None,None,None,None,None,None,6,2146
49,66736,727,125330,None,None,None,None,None,None,None,None,None,None,None,None,18,8711
49,66736,66,125330,None,None,None,None,None,None,None,None,None,None,None,None,11,2577
70,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,89,4011
70,66736,672,521550,None,None,None,None,None,None,None,None,None,None,None,None,15,12801
70,66736,670,521550,None,None,None,None,None,None,None,None,None,None,None,None,12,3893
71,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,74
71,66736,670,521550,None,None,None,None,None,None,None,None,None,None,None,None,6,1190
57,66736,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,34,6357
389,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,51
389,66736,491,125330,None,None,None,None,None,None,None,None,None,None,None,None,1,11
50,66736,491,125330,None,None,None,None,None,None,None,None,None,None,None,None,6,507
57,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58,4051
57,66736,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,23,4340
57,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,10,399
57,66736,629,521550,None,None,None,None,None,None,None,None,None,None,None,None,7,470
13,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,239,29104
13,66736,629,521550,None,None,None,None,None,None,None,None,None,None,None,None,56,20904
13,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,17,386
152,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,281,13467
152,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,62,21300
12,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,118,4400
12,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,33,9691
58,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,61,3662
58,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,29,19157
58,66736,805,521550,None,None,None,None,None,None,None,None,None,None,None,None,9,794
473,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,48,3123
473,66736,545,125330,None,None,None,None,None,None,None,None,None,None,None,None,15,20537
473,66736,66,125330,None,None,None,None,None,None,None,None,None,None,None,None,16,7377
473,66736,424,125330,None,None,None,None,None,None,None,None,None,None,None,None,16,2208
473,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,12,2548
152,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,34,11465
151,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,69,3911
151,66736,474,125330,None,None,None,None,None,None,None,None,None,None,None,None,15,4011
150,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36,1096
150,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,15,4614
49,66736,182,125330,None,None,None,None,None,None,None,None,None,None,None,None,4,262
49,66736,424,125330,None,None,None,None,None,None,None,None,None,None,None,None,2,144
47,677,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,5,2026
81,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22,1181
81,677,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,4,2871
47,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,61,9228
14,66736,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29,356
14,66736,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,12,1915
152,66736,364,125330,None,None,None,None,None,None,None,None,None,None,None,None,3,417
95,66736,201,521550,None,None,None,None,None,None,None,None,None,None,None,None,3,707
152,66736,182,125330,None,None,None,None,None,None,None,None,None,None,None,None,1,4
129,67011,201,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,492
38,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,313
38,67011,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,5,3787
38,67011,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,13
152,66736,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,4,4
13,66736,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,7,2996
58,66736,763,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,6
59,66736,302,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,44
222,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,714
222,67011,144,521550,None,None,None,None,None,None,None,None,None,None,None,None,2,88
222,67011,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,9,3623
38,67011,805,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,283
346,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12,654
346,67011,805,521550,None,None,None,None,None,None,None,None,None,None,None,None,9,7025
346,67011,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,8,724
281,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,13
281,67011,803,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,33
0,67011,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32,4527
0,67011,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,1,332
96,677,840,521550,None,None,None,None,None,None,None,None,None,None,None,None,9,4069
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,193,49196
96,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36,3547
96,677,763,521550,57,66736,None,None,None,None,None,None,None,None,None,None,3,439
96,677,840,521550,57,66736,None,None,None,None,None,None,None,None,None,None,4,761
227,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14,3706
227,677,727,125330,50,66736,None,None,None,None,None,None,None,None,None,None,2,1456
98,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,79,20483
98,677,840,521550,None,None,346,67011,None,None,None,None,None,None,None,None,1,64
98,677,805,521550,214,5035,346,67011,None,None,None,None,None,None,None,None,1,287
226,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60,9035
226,677,727,125330,None,None,49,66736,None,None,None,None,None,None,None,None,1,789
98,677,805,521550,None,None,None,None,None,None,None,None,None,None,None,None,3,400
227,677,660,125330,50,66736,None,None,None,None,None,None,None,None,None,None,2,135
96,677,302,521550,57,66736,None,None,None,None,None,None,None,None,None,None,1,10
96,677,144,521550,57,66736,None,None,None,None,None,None,None,None,None,None,1,36
97,677,302,521550,None,None,58,66736,None,None,None,None,None,None,None,None,1,199
57,66736,840,521550,96,677,None,None,None,None,None,None,None,None,None,None,1,14
57,66736,144,521550,96,677,None,None,None,None,None,None,None,None,None,None,1,10
57,66736,629,521550,96,677,None,None,None,None,None,None,None,None,None,None,1,27
13,66736,840,521550,None,None,82,677,None,None,None,None,None,None,None,None,1,5
13,66736,629,521550,None,None,82,677,None,None,None,None,None,None,None,None,2,240
13,66736,144,521550,None,None,82,677,None,None,None,None,None,None,None,None,1,35
12,66736,629,521550,207,5035,81,677,None,None,None,None,None,None,None,None,1,119
13,66736,144,521550,82,677,None,None,None,None,None,None,None,None,None,None,1,5
50,66736,805,519630,None,None,None,None,None,None,None,None,None,None,None,None,59,22562
50,66736,840,519630,None,None,None,None,None,None,None,None,None,None,None,None,58,26813
57,66736,840,519630,None,None,None,None,None,None,None,None,None,None,None,None,60,16795
59,66736,805,519630,None,None,None,None,None,None,None,None,None,None,None,None,60,22398
50,66736,840,519630,227,677,None,None,None,None,None,None,None,None,None,None,26,16523
50,66736,805,519630,227,677,None,None,None,None,None,None,None,None,None,None,14,3749
98,677,805,519630,59,66736,None,None,None,None,None,None,None,None,None,None,14,9061
227,677,805,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,111
58,66736,629,519630,None,None,None,None,None,None,None,None,None,None,None,None,23,981
13,66736,629,519630,None,None,None,None,None,None,None,None,None,None,None,None,203,109294
152,66736,629,519630,None,None,None,None,None,None,None,None,None,None,None,None,166,73752
58,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,22,13879
13,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,7,74
13,66736,144,519630,None,None,None,None,None,None,None,None,None,None,None,None,18,306
58,66736,629,519630,97,677,None,None,None,None,None,None,None,None,None,None,11,566
58,66736,144,519630,97,677,None,None,None,None,None,None,None,None,None,None,10,591
82,677,629,519630,4,67011,None,None,None,None,None,None,None,None,None,None,5,1456
365,677,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28,11061
365,677,302,519630,473,66736,None,None,None,None,None,None,None,None,None,None,1,17
365,677,201,519630,473,66736,None,None,None,None,None,None,None,None,None,None,4,1069
151,66736,201,519630,46,677,None,None,None,None,None,None,None,None,None,None,14,6021
473,66736,629,519630,365,677,None,None,None,None,None,None,None,None,None,None,13,8935
473,66736,201,519630,None,None,None,None,None,None,None,None,None,None,None,None,15,2892
151,66736,201,519630,None,None,None,None,None,None,None,None,None,None,None,None,42,12985
473,66736,302,519630,365,677,None,None,None,None,None,None,None,None,None,None,5,82
473,66736,201,519630,365,677,None,None,None,None,None,None,None,None,None,None,15,2994
473,66736,629,519630,None,None,None,None,None,None,None,None,None,None,None,None,22,5533
473,66736,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,5,615
57,66736,763,519630,96,677,None,None,None,None,None,None,None,None,None,None,15,2089
50,66736,763,519630,227,677,None,None,None,None,None,None,None,None,None,None,1,69
59,66736,840,519630,None,None,None,None,None,None,None,None,None,None,None,None,26,4001
59,66736,805,519630,98,677,None,None,None,None,None,None,None,None,None,None,12,4131
13,66736,629,519630,82,677,None,None,None,None,None,None,None,None,None,None,12,5327
58,66736,302,519630,97,677,None,None,None,None,None,None,None,None,None,None,12,4415
12,66736,629,519630,None,None,None,None,None,None,None,None,None,None,None,None,26,3479
13,66736,302,519630,82,677,None,None,None,None,None,None,None,None,None,None,3,778
46,677,201,519630,None,None,None,None,None,None,None,None,None,None,None,None,16,6729
365,677,629,519630,473,66736,None,None,None,None,None,None,None,None,None,None,2,547
226,677,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,179
226,677,672,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,712
