pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
496,66811,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,6,1327
496,66811,880,125290,None,None,None,None,None,None,None,None,None,None,None,None,8,735
410,66811,106,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,70
157,1123,463,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,1042
89,1123,302,519630,None,None,None,None,None,None,None,None,None,None,None,None,4,150
412,1123,463,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,72
157,1123,211,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,237
51,1123,654,125290,None,None,None,None,None,None,None,None,None,None,None,None,6,1548
51,1123,694,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,176
51,1123,62,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,522
328,5035,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,40
286,66811,224,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,57
100,66811,224,519630,None,None,None,None,None,None,None,None,None,None,None,None,8,1454
268,66811,211,125290,412,1123,None,None,None,None,None,None,None,None,None,None,6,1171
317,66811,754,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,40
234,66811,189,519630,None,None,249,1123,None,None,None,None,None,None,None,None,1,21
234,66811,431,519630,None,None,249,1123,None,None,None,None,None,None,None,None,1,20
1,66811,224,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,169
144,66811,224,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,24
1,66811,187,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,28
29,1123,221,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,343
29,1123,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,11
29,1123,369,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,5
177,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,21
177,1123,369,519630,None,None,None,None,None,None,None,None,None,None,None,None,5,1058
177,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,40
127,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,10
249,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,9,1176
43,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,25
43,1123,880,125290,None,None,None,None,None,None,None,None,None,None,None,None,3,417
249,1123,369,519630,None,None,None,None,None,None,None,None,None,None,None,None,3,183
406,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,386
465,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,10
249,1123,293,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,54
150,1123,815,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,360
150,1123,129,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,23
150,1123,211,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,607
185,1123,815,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,719
185,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,8
28,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,2,373
406,1123,369,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,30
205,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
205,1123,846,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,360
205,1123,880,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,46
356,1123,44,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,113
156,1123,279,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,100
156,1123,146,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,171
438,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,4
438,1123,455,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,209
5,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
5,1123,455,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,577
177,1123,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,5
428,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,6
428,1123,595,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,32
490,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,5
352,1123,374,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,74
177,1123,374,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,27
162,1123,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,7
162,1123,367,519630,None,None,None,None,None,None,None,None,None,None,None,None,1,45
63,66811,815,125290,None,None,None,None,None,None,None,None,None,None,None,None,1,766
51,66811,168,519630,None,None,None,None,None,None,None,None,None,None,None,None,2,265
234,66811,651,519630,None,None,249,1123,None,None,None,None,None,None,None,None,1,20
240,66811,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,5348
