pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
446,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,60
39,5230,None,None,39,2350,39,2100,None,None,None,None,None,None,None,None,27,4779
216,66586,None,None,216,66836,216,5230,None,None,None,None,None,None,None,None,4,157
217,66586,None,None,217,67086,217,66836,None,None,None,None,None,None,None,None,9,1138
407,66586,407,176930,407,67086,407,1100,None,None,None,None,None,None,None,None,1,46
255,66586,407,176930,255,66836,255,1100,None,None,None,None,None,None,None,None,1,6
255,66586,255,176930,255,66836,255,1100,None,None,None,None,None,None,None,None,27,5516
255,66586,255,176930,255,67086,255,1100,None,None,None,None,None,None,None,None,26,4444
255,66586,257,176930,255,67086,255,1100,None,None,None,None,None,None,None,None,19,885
3,66836,96,176930,97,1100,3,66586,None,None,None,None,None,None,None,None,12,470
387,66836,96,176930,387,1100,387,66586,None,None,None,None,None,None,None,None,1,22
387,66836,97,176930,387,1100,387,66586,None,None,None,None,None,None,None,None,4,130
39,66836,97,176930,39,66586,None,None,None,None,None,None,None,None,None,None,12,1650
217,66836,97,176930,255,1100,217,67086,None,None,None,None,None,None,None,None,3,432
217,66836,255,176930,255,1100,217,67086,None,None,None,None,None,None,None,None,2,57
218,66836,255,176930,255,1100,218,66586,None,None,None,None,None,None,None,None,16,2530
3,66836,97,176930,97,1100,3,66586,None,None,None,None,None,None,None,None,23,1783
96,66836,96,176930,96,66586,96,1100,None,None,None,None,None,None,None,None,2,195
96,66836,97,176930,96,66586,96,1100,None,None,None,None,None,None,None,None,4,212
217,66836,97,176930,255,1100,217,66586,None,None,None,None,None,None,None,None,7,429
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,172,3799
217,66836,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,318
218,66836,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,155
39,66586,None,None,39,66836,39,5230,None,None,None,None,None,None,None,None,22,3280
217,66586,None,None,217,66836,217,67086,None,None,None,None,None,None,None,None,6,565
96,66586,None,None,325,56442,324,56293,326,56640,None,None,None,None,None,None,1,4
96,66586,96,176930,96,67086,96,1100,None,None,None,None,None,None,None,None,1,20
39,66586,96,176930,39,66836,None,None,None,None,None,None,None,None,None,None,1,4
255,66586,None,None,255,55344,255,55542,255,55740,None,None,None,None,None,None,1,7
255,66836,None,None,255,55344,255,55542,255,55740,None,None,None,None,None,None,1,6
218,66586,None,None,218,66836,218,67086,None,None,None,None,None,None,None,None,6,779
218,66586,257,176930,218,66836,None,None,None,None,None,None,None,None,None,None,1,11
255,66586,None,None,255,67086,255,66836,255,1100,None,None,None,None,None,None,14,376
255,66586,257,176930,255,66836,255,1100,None,None,None,None,None,None,None,None,20,341
437,66586,None,None,437,66836,437,5230,None,None,None,None,None,None,None,None,13,668
437,66586,720,2078331,437,66836,437,5230,None,None,None,None,None,None,None,None,3,78
257,66586,None,None,257,66836,257,67086,257,1100,None,None,None,None,None,None,7,388
257,66586,257,176930,257,67086,257,1100,None,None,None,None,None,None,None,None,27,5094
437,66586,719,2078331,437,66836,437,5230,None,None,None,None,None,None,None,None,1,206
436,66586,None,None,436,66836,436,5230,None,None,None,None,None,None,None,None,4,888
436,66586,256,176930,436,66836,None,None,None,None,None,None,None,None,None,None,3,184
436,66586,257,176930,436,66836,None,None,None,None,None,None,None,None,None,None,18,3052
436,66586,97,176930,436,66836,None,None,None,None,None,None,None,None,None,None,8,429
435,66586,None,None,97,1100,435,66836,435,5230,None,None,None,None,None,None,1,26
435,66586,257,176930,97,1100,435,66836,None,None,None,None,None,None,None,None,9,1064
435,66586,97,176930,97,1100,435,66836,None,None,None,None,None,None,None,None,13,641
435,66586,96,176930,97,1100,435,66836,None,None,None,None,None,None,None,None,1,1
3,66586,None,None,97,1100,3,66836,3,5230,None,None,None,None,None,None,2,44
407,66586,255,176930,407,66836,407,1100,None,None,None,None,None,None,None,None,1,27
255,66586,None,None,255,66836,255,67086,255,1100,None,None,None,None,None,None,6,241
216,66836,None,None,216,66586,216,5230,None,None,None,None,None,None,None,None,2,287
39,66836,None,None,39,66586,39,5230,None,None,None,None,None,None,None,None,6,652
218,66836,None,None,218,67086,218,66586,255,1100,None,None,None,None,None,None,4,469
255,66836,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,137
255,66836,257,176930,255,67086,255,1100,None,None,None,None,None,None,None,None,13,419
255,66836,None,None,255,67086,255,66586,255,1100,None,None,None,None,None,None,6,60
255,66836,720,2078331,255,67086,255,66586,255,1100,None,None,None,None,None,None,3,119
436,66836,None,None,436,66586,436,5230,None,None,None,None,None,None,None,None,10,4028
436,66836,720,2078331,436,66586,436,5230,None,None,None,None,None,None,None,None,1,12
257,66836,None,None,257,67086,257,66586,257,1100,None,None,None,None,None,None,4,22
257,66836,257,176930,257,66586,257,1100,None,None,None,None,None,None,None,None,26,2614
437,66836,None,None,437,66586,437,5230,None,None,None,None,None,None,None,None,8,194
437,66836,720,2078331,437,66586,437,5230,None,None,None,None,None,None,None,None,1,1
437,66836,719,2078331,437,66586,437,5230,None,None,None,None,None,None,None,None,2,254
257,66836,257,176930,257,67086,257,1100,None,None,None,None,None,None,None,None,32,4108
257,66836,None,None,257,66586,257,67086,257,1100,None,None,None,None,None,None,5,173
257,66836,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,477
