Region,Operator,Type,Freq,Band
T-R13,T,Sub6,125290,
T-R13,T,Sub6,519630,
T-R13,T,LTE,66811,
T-R13,T,LTE,1123,
T-R13,T,LTE,47289,
T-R13,T,LTE,47091,
T-R13,T,LTE,47490,
T-R13,T,LTE,68861,
T-R13,T,LTE,2325,
T-R13,T,LTE,39874,
T-R13,T,LTE,40072,
T-R13,T,LTE,876,
T-R13,T,LTE,5035,
