Region,Operator,Type,Cell,Freq,Band
V-R10,V,LTE,272,56242,48
V-R10,V,LTE,272,56044,48
V-R10,V,LTE,272,56440,48
V-R10,V,LTE,449,56044,48
V-R10,V,LTE,272,53341,46
V-R10,V,LTE,272,53140,46
V-R10,V,LTE,272,53539,46
V-R9,V,LTE,200,66536,66
V-R10,V,LTE,226,56440,48
V-R7,V,LTE,329,2561,5
V-R10,V,LTE,325,53341,46
V-R10,V,LTE,325,53140,46
V-R10,V,LTE,224,56140,48
V-R10,V,LTE,224,55942,48
V-R10,V,LTE,223,55942,48
V-R9,V,LTE,222,55942,48
V-R10,V,LTE,222,2050,4
V-R11,V,LTE,200,925,2
V-R10,V,LTE,445,47090,46
V-R10,V,LTE,445,47291,46
V-R10,V,LTE,353,55942,48
V-R6,V,LTE,166,5230,13
V-R9,V,LTE,224,2050,4
V-R10,V,LTE,271,47090,46
V-R10,V,LTE,271,47291,46
V-R10,V,LTE,223,55340,48
V-R9,V,LTE,223,56140,48
V-R10,V,LTE,446,55942,48
V-R10,V,LTE,446,55744,48
V-R10,V,LTE,446,56140,48
V-R10,V,LTE,222,56140,48
V-R10,V,LTE,353,55744,48
V-R10,V,LTE,353,47489,46
V-R10,V,LTE,353,47090,46
V-R10,V,LTE,353,47291,46
V-R10,V,LTE,353,56140,48
V-R9,V,LTE,329,5230,13
V-R10,V,LTE,329,2050,4
V-R6,V,LTE,81,5230,13
V-R7,V,LTE,328,55942,48
V-R10,V,LTE,328,55340,48
V-R10,V,LTE,328,55640,48
V-R10,V,LTE,329,55340,48
V-R10,V,LTE,329,55640,48
V-R10,V,LTE,329,55942,48
V-R10,V,MW,608,2071667,n261
V-R10,V,MW,449,2071667,n261
V-R10,V,MW,447,2071667,n261
V-R10,V,MW,372,2071667,n261
V-R10,V,MW,344,2071667,n261
V-R10,V,MW,373,2071667,n261
V-R10,V,MW,374,2071667,n261
V-R10,V,MW,267,2071667,n261
V-R10,V,MW,272,2071667,n261
V-R10,V,MW,270,2071667,n261
V-R10,V,MW,390,2071667,n261
V-R10,V,MW,391,2071667,n261
V-R9,V,MW,494,2071667,n261
V-R9,V,MW,492,2071667,n261
V-R10,V,MW,483,2071667,n261
V-R10,V,MW,484,2071667,n261
V-R10,V,MW,2,2071667,n261
V-R10,V,MW,269,2071667,n261
V-R10,V,MW,607,2071667,n261
V-R10,V,MW,342,2071667,n261
V-R10,V,MW,485,2071667,n261
V-R10,V,MW,343,2071667,n261
V-R10,V,MW,313,2071667,n261
V-R10,V,MW,1,2071667,n261
V-R10,V,MW,103,2071667,n261
V-R10,V,MW,489,2071667,n261
V-R10,V,MW,491,2071667,n261
V-R10,V,MW,102,2071667,n261
V-R9,V,MW,23,2071667,n261
V-R10,V,MW,25,2071667,n261
V-R10,V,MW,226,2071667,n261
V-R10,V,MW,271,2071667,n261
V-R10,V,MW,225,2071667,n261
V-R10,V,MW,490,2071667,n261
V-R10,V,Sub6,76,176930,n5
V-R10,V,Sub6,328,176930,n5
V-R10,V,Sub6,269,176930,n5
V-R10,V,Sub6,382,176930,n5
V-R10,V,Sub6,135,176930,n5
V-R11,V,Sub6,181,176930,n5
V-R10,V,Sub6,209,176930,n5
V-R10,V,Sub6,85,176930,n5
V-R10,V,Sub6,329,176930,n5
V-R10,V,Sub6,222,176930,n5
V-R10,V,Sub6,166,176930,n5
V-R10,V,Sub6,275,176930,n5
V-R10,V,Sub6,244,176930,n5
V-R10,V,Sub6,88,176930,n5
V-R7,V,Sub6,243,176930,n5
V-R10,V,Sub6,208,176930,n5
V-R10,V,Sub6,115,176930,n5
V-R11,V,Sub6,224,176930,n5
V-R11,V,Sub6,81,176930,n5
V-R10,V,Sub6,379,176930,n5
V-R10,V,Sub6,65,176930,n5
V-R10,V,Sub6,451,176930,n5
V-R10,V,Sub6,433,176930,n5
V-R10,V,Sub6,200,176930,n5
V-R10,V,Sub6,177,176930,n5
V-R10,V,Sub6,327,176930,n5
V-R9,V,LTE,393,66536,66
V-R9,V,LTE,316,66536,66
V-R10,V,LTE,329,55746,48
V-R9,V,LTE,256,66536,66
V-R9,V,LTE,127,66536,66
V-R10,V,LTE,181,55944,48
V-R9,V,LTE,303,66536,66
V-R9,V,LTE,387,66536,66
V-R9,V,LTE,160,66536,66
V-R9,V,LTE,122,66536,66
V-R11,V,LTE,160,925,2
V-R9,V,LTE,20,66536,66
V-R11,V,LTE,328,2561,5
V-R9,V,LTE,327,66536,66
V-R9,V,LTE,316,925,2
V-R9,V,LTE,152,925,2
V-R9,V,LTE,447,925,2
V-R9,V,LTE,377,925,2
V-R9,V,LTE,497,925,2
V-R9,V,LTE,387,925,2
V-R10,V,LTE,277,925,2
V-R9,V,LTE,290,925,2
V-R9,V,LTE,327,2561,5
V-R9,V,LTE,427,66536,66
V-R6,V,LTE,166,2561,5
V-R9,V,LTE,181,2050,4
V-R9,V,LTE,59,925,2
V-R10,V,LTE,382,2050,4
V-R9,V,LTE,409,925,2
V-R10,V,LTE,471,925,2
V-R11,V,LTE,459,925,2
V-R11,V,LTE,99,925,2
V-R9,V,LTE,101,5230,13
V-R8,V,LTE,487,5230,13
V-R6,V,LTE,260,5230,13
V-R9,V,LTE,4,66536,66
V-R9,V,LTE,195,5230,13
V-R9,V,LTE,487,66536,66
V-R9,V,LTE,326,66536,66
V-R9,V,LTE,81,2561,5
V-R11,V,LTE,486,66536,66
V-R9,V,LTE,157,66536,66
V-R9,V,LTE,376,66536,66
V-R9,V,LTE,223,66536,66
V-R11,V,LTE,67,66536,66
V-R9,V,LTE,424,66536,66
V-R9,V,LTE,368,66536,66
V-R9,V,LTE,141,66536,66
V-R9,V,LTE,440,66536,66
V-R9,V,LTE,174,66536,66
V-R9,V,LTE,270,66536,66
V-R9,V,LTE,7,66536,66
V-R9,V,LTE,219,66536,66
V-R9,V,LTE,129,66536,66
V-R9,V,LTE,154,66536,66
V-R9,V,LTE,283,66536,66
V-R9,V,LTE,471,66536,66
V-R9,V,LTE,169,66536,66
V-R9,V,LTE,116,66536,66
V-R9,V,LTE,66,66536,66
V-R9,V,LTE,499,66536,66
V-R9,V,LTE,196,66536,66
V-R9,V,LTE,386,66536,66
V-R9,V,LTE,374,66536,66
V-R11,V,LTE,409,66536,66
V-R9,V,LTE,465,66536,66
V-R9,V,LTE,272,66536,66
V-R9,V,LTE,253,66536,66
V-R9,V,LTE,201,66536,66
V-R10,V,LTE,35,66536,66
V-R9,V,LTE,11,66536,66
V-R9,V,LTE,481,66536,66
V-R9,V,LTE,410,66536,66
V-R9,V,LTE,240,66536,66
V-R9,V,LTE,141,925,2
V-R9,V,LTE,239,66536,66
V-R9,V,LTE,391,66536,66
V-R9,V,LTE,463,925,2
V-R9,V,LTE,290,66536,66
V-R10,V,LTE,454,66536,66
V-R9,V,LTE,145,66536,66
V-R9,V,LTE,414,66536,66
V-R9,V,LTE,213,66536,66
V-R9,V,LTE,259,66536,66
V-R9,V,LTE,10,66536,66
V-R9,V,LTE,449,66536,66
V-R9,V,LTE,399,66536,66
V-R11,V,LTE,235,66536,66
V-R9,V,LTE,451,66536,66
V-R10,V,LTE,235,5230,13
V-R6,V,LTE,88,5230,13
V-R9,V,LTE,27,5230,13
V-R9,V,LTE,266,66536,66
V-R9,V,LTE,131,66536,66
V-R9,V,LTE,137,66536,66
V-R9,V,LTE,417,66536,66
V-R9,V,LTE,451,925,2
V-R9,V,LTE,235,925,2
V-R9,V,LTE,211,66536,66
V-R9,V,LTE,400,66536,66
V-R9,V,LTE,451,2561,5
V-R10,V,LTE,235,2561,5
V-R9,V,LTE,59,66536,66
V-R9,V,LTE,433,66536,66
V-R9,V,LTE,411,66536,66
V-R9,V,LTE,75,5230,13
V-R9,V,LTE,358,2561,5
V-R9,V,LTE,118,2561,5
V-R9,V,LTE,372,66536,66
V-R9,V,LTE,167,66536,66
V-R9,V,LTE,277,66536,66
V-R9,V,LTE,451,5230,13
V-R10,V,LTE,166,925,2
V-R11,V,LTE,219,925,2
V-R9,V,LTE,348,66536,66
V-R10,V,LTE,139,66536,66
V-R9,V,LTE,117,66536,66
V-R9,V,LTE,214,66536,66
V-R9,V,LTE,381,66536,66
V-R9,V,LTE,172,66536,66
V-R9,V,LTE,428,66536,66
V-R10,V,LTE,129,925,2
V-R10,V,LTE,394,66536,66
V-R9,V,LTE,73,66536,66
V-R11,V,LTE,356,925,2
V-R9,V,LTE,32,66536,66
V-R9,V,LTE,37,66536,66
V-R9,V,LTE,322,66536,66
V-R9,V,LTE,107,66536,66
V-R9,V,LTE,365,66536,66
V-R9,V,LTE,64,66536,66
V-R9,V,LTE,71,66536,66
V-R9,V,LTE,375,66536,66
V-R9,V,LTE,393,925,2
V-R9,V,LTE,82,66536,66
V-R9,V,LTE,426,66536,66
V-R9,V,LTE,390,66536,66
V-R10,V,LTE,428,925,2
V-R9,V,LTE,131,925,2
V-R9,V,LTE,115,2050,4
V-R11,V,LTE,394,925,2
V-R9,V,LTE,142,66536,66
V-R9,V,LTE,49,925,2
V-R9,V,LTE,151,5230,13
V-R6,V,LTE,109,5230,13
V-R9,V,LTE,151,925,2
V-R10,V,LTE,88,2050,4
V-R10,V,LTE,166,2050,4
V-R11,V,LTE,160,2050,4
V-R7,V,LTE,132,5230,13
V-R9,V,LTE,393,5230,13
V-R6,V,LTE,82,5230,13
V-R9,V,LTE,394,5230,13
V-R9,V,LTE,302,5230,13
V-R9,V,LTE,184,66536,66
V-R9,V,LTE,309,2561,5
V-R10,V,LTE,247,55944,48
V-R9,V,LTE,305,66536,66
V-R9,V,LTE,110,66536,66
V-R10,V,LTE,329,55944,48
V-R9,V,LTE,300,66536,66
V-R9,V,LTE,341,2561,5
V-R9,V,LTE,231,66536,66
V-R9,V,LTE,161,66536,66
V-R9,V,LTE,464,66536,66
V-R9,V,LTE,263,66536,66
V-R9,V,LTE,358,66536,66
V-R9,V,LTE,129,5230,13
V-R9,V,LTE,126,66536,66
V-R9,V,LTE,195,66536,66
V-R9,V,LTE,213,925,2
V-R9,V,LTE,456,925,2
V-R9,V,LTE,373,66536,66
V-R9,V,LTE,317,66536,66
V-R10,V,LTE,456,55942,48
V-R9,V,LTE,405,66536,66
V-R9,V,LTE,468,66536,66
V-R9,V,LTE,298,66536,66
V-R10,V,LTE,259,925,2
V-R9,V,LTE,331,66536,66
V-R9,V,LTE,214,2561,5
V-R6,V,LTE,223,2561,5
V-R9,V,LTE,71,925,2
V-R10,V,LTE,223,56640,48
V-R10,V,LTE,223,56244,48
V-R10,V,LTE,223,56442,48
V-R9,V,LTE,60,5230,13
V-R9,V,LTE,180,66536,66
V-R9,V,LTE,306,925,2
V-R9,V,LTE,443,925,2
V-R9,V,LTE,345,5230,13
V-R9,V,LTE,443,5230,13
V-R9,V,LTE,78,66536,66
V-R10,V,LTE,315,56440,48
V-R9,V,LTE,485,66536,66
V-R9,V,LTE,395,66536,66
V-R9,V,LTE,474,66536,66
V-R10,V,LTE,468,925,2
V-R9,V,LTE,210,925,2
V-R11,V,LTE,285,55942,48
V-R11,V,LTE,6,55942,48
V-R9,V,LTE,44,66536,66
V-R9,V,LTE,351,66536,66
V-R9,V,LTE,397,66536,66
V-R9,V,LTE,61,66536,66
V-R9,V,LTE,18,66536,66
V-R11,V,LTE,82,925,2
V-R9,V,LTE,171,66536,66
V-R9,V,LTE,68,66536,66
V-R10,V,LTE,272,56244,48
V-R10,V,LTE,184,56244,48
V-R9,V,LTE,294,66536,66
V-R9,V,LTE,29,66536,66
V-R9,V,LTE,359,66536,66
V-R9,V,LTE,183,66536,66
V-R9,V,LTE,48,66536,66
V-R9,V,LTE,320,66536,66
V-R9,V,LTE,148,66536,66
V-R9,V,LTE,121,66536,66
V-R9,V,LTE,217,66536,66
V-R9,V,LTE,150,925,2
V-R9,V,LTE,374,2561,5
V-R9,V,LTE,272,925,2
V-R11,V,LTE,106,5230,13
V-R9,V,LTE,14,5230,13
V-R9,V,LTE,160,5230,13
V-R9,V,LTE,140,66536,66
V-R9,V,LTE,238,925,2
V-R9,V,LTE,77,66536,66
V-R10,V,LTE,230,55944,48
V-R10,V,LTE,202,55944,48
V-R9,V,LTE,219,5230,13
V-R9,V,LTE,287,2561,5
V-R9,V,LTE,11,2561,5
V-R10,V,LTE,269,2050,4
V-R9,V,LTE,291,66536,66
V-R9,V,LTE,280,66536,66
V-R11,V,LTE,354,925,2
V-R9,V,LTE,54,66536,66
V-R9,V,LTE,268,66536,66
V-R7,V,LTE,478,5230,13
V-R9,V,LTE,25,66536,66
V-R9,V,LTE,134,66536,66
V-R9,V,LTE,267,66536,66
V-R9,V,LTE,434,66536,66
V-R8,V,LTE,67,5230,13
V-R9,V,LTE,503,66536,66
V-R9,V,LTE,51,66536,66
V-R9,V,LTE,151,66536,66
V-R9,V,LTE,496,66536,66
V-R9,V,LTE,12,66536,66
V-R10,V,LTE,418,925,2
V-R9,V,LTE,335,925,2
V-R10,V,LTE,457,2050,4
V-R9,V,LTE,150,66536,66
V-R10,V,LTE,7,925,2
V-R9,V,LTE,64,925,2
V-R6,V,LTE,263,5230,13
V-R9,V,LTE,460,5230,13
V-R9,V,LTE,451,2050,4
V-R9,V,LTE,470,925,2
V-R9,V,LTE,31,925,2
V-R10,V,LTE,333,925,2
V-R9,V,LTE,98,66536,66
V-R9,V,LTE,294,925,2
V-R9,V,LTE,213,5230,13
V-R9,V,LTE,384,66536,66
V-R9,V,LTE,139,925,2
V-R9,V,LTE,42,66536,66
V-R9,V,LTE,155,66536,66
V-R9,V,LTE,325,66536,66
V-R11,V,LTE,194,66536,66
V-R9,V,LTE,301,66536,66
V-R7,V,LTE,184,5230,13
V-R9,V,LTE,158,66536,66
V-R11,V,LTE,342,66536,66
V-R9,V,LTE,64,5230,13
V-R9,V,LTE,11,925,2
V-R9,V,LTE,91,66536,66
V-R9,V,LTE,384,925,2
V-R9,V,LTE,98,55942,48
V-R9,V,LTE,367,5230,13
V-R9,V,LTE,453,66536,66
V-R9,V,LTE,431,5230,13
V-R9,V,LTE,403,66536,66
V-R7,V,LTE,321,2561,5
V-R9,V,LTE,290,2561,5
V-R9,V,LTE,145,2561,5
V-R11,V,LTE,431,66536,66
V-R9,V,LTE,82,2561,5
V-R9,V,LTE,416,66536,66
V-R9,V,LTE,146,66536,66
V-R10,V,LTE,235,56640,48
V-R9,V,LTE,406,66536,66
V-R10,V,LTE,298,56046,48
V-R9,V,LTE,202,66536,66
V-R10,V,LTE,65,2050,4
V-R11,V,LTE,439,925,2
V-R9,V,LTE,227,925,2
V-R9,V,LTE,18,925,2
V-R10,V,LTE,177,925,2
V-R10,V,LTE,300,925,2
V-R9,V,LTE,104,925,2
V-R9,V,LTE,281,925,2
V-R9,V,LTE,149,925,2
V-R9,V,LTE,145,925,2
V-R9,V,LTE,358,925,2
V-R9,V,LTE,374,925,2
V-R10,V,LTE,106,52941,46
V-R11,V,LTE,251,5230,13
V-R6,V,LTE,172,5230,13
V-R9,V,LTE,376,5230,13
V-R6,V,LTE,342,5230,13
V-R11,V,LTE,200,2561,5
V-R9,V,LTE,387,2561,5
V-R10,V,LTE,195,2561,5
V-R9,V,LTE,118,66536,66
V-R9,V,LTE,0,66536,66
V-R10,V,LTE,171,925,2
V-R9,V,LTE,111,66536,66
V-R9,V,LTE,176,66536,66
V-R9,V,LTE,436,925,2
V-R10,V,LTE,15,925,2
V-R9,V,LTE,160,2561,5
V-R9,V,LTE,357,925,2
V-R9,V,LTE,111,925,2
V-R9,V,LTE,247,66536,66
V-R9,V,LTE,22,925,2
V-R9,V,LTE,90,66536,66
V-R9,V,LTE,452,66536,66
V-R9,V,LTE,233,925,2
V-R10,V,LTE,196,925,2
V-R10,V,LTE,62,56140,48
V-R9,V,LTE,122,925,2
V-R9,V,LTE,198,925,2
V-R9,V,LTE,53,66536,66
V-R10,V,LTE,327,56340,48
V-R8,V,LTE,230,5230,13
V-R9,V,LTE,103,66536,66
V-R9,V,LTE,447,66536,66
V-R10,V,LTE,253,925,2
V-R9,V,LTE,459,66536,66
V-R9,V,LTE,6,66536,66
V-R9,V,LTE,251,66536,66
V-R9,V,LTE,95,66536,66
V-R10,V,LTE,403,55744,48
V-R9,V,LTE,502,66536,66
V-R9,V,LTE,290,5230,13
V-R9,V,LTE,47,925,2
V-R9,V,LTE,292,925,2
V-R10,V,LTE,254,925,2
V-R9,V,LTE,446,66536,66
V-R10,V,LTE,244,55944,48
V-R10,V,LTE,268,925,2
V-R9,V,LTE,242,66536,66
V-R9,V,LTE,290,2050,4
V-R10,V,LTE,393,2561,5
V-R10,V,LTE,393,2050,4
V-R9,V,LTE,247,2561,5
V-R9,V,LTE,27,66536,66
V-R9,V,LTE,398,66536,66
V-R9,V,LTE,149,66536,66
V-R9,V,LTE,223,925,2
V-R9,V,LTE,177,66536,66
V-R10,V,LTE,446,56242,48
V-R10,V,LTE,389,56242,48
V-R10,V,LTE,446,56044,48
V-R10,V,LTE,446,56440,48
V-R6,V,LTE,200,5230,13
V-R11,V,LTE,444,2561,5
V-R9,V,LTE,390,925,2
V-R9,V,LTE,138,66536,66
V-R9,V,LTE,230,66536,66
V-R10,V,LTE,73,56044,48
V-R10,V,LTE,220,56440,48
V-R11,V,LTE,73,56440,48
V-R10,V,LTE,152,56440,48
V-R9,V,LTE,230,925,2
V-R9,V,LTE,131,2561,5
V-R11,V,LTE,215,925,2
V-R9,V,LTE,104,66536,66
V-R10,V,LTE,328,56042,48
V-R10,V,LTE,371,55340,48
V-R10,V,LTE,416,56042,48
V-R10,V,LTE,382,56042,48
V-R9,V,LTE,233,66536,66
V-R9,V,LTE,187,925,2
V-R9,V,LTE,460,925,2
V-R10,V,LTE,152,56044,48
V-R11,V,LTE,152,56242,48
V-R10,V,LTE,73,56242,48
V-R9,V,LTE,345,66536,66
V-R9,V,LTE,191,2561,5
V-R9,V,LTE,387,2050,4
V-R10,V,LTE,134,925,2
V-R10,V,LTE,152,47489,46
V-R9,V,LTE,377,66536,66
V-R10,V,LTE,389,56044,48
V-R9,V,LTE,192,66536,66
V-R10,V,LTE,428,56044,48
V-R11,V,LTE,311,66536,66
V-R11,V,LTE,433,925,2
V-R10,V,LTE,457,925,2
V-R9,V,LTE,121,925,2
V-R10,V,LTE,265,56240,48
V-R9,V,LTE,434,925,2
V-R9,V,LTE,3,66536,66
V-R9,V,LTE,455,66536,66
V-R11,V,LTE,297,925,2
V-R9,V,LTE,198,66536,66
V-R9,V,LTE,285,925,2
V-R9,V,LTE,206,66536,66
V-R9,V,LTE,2,66536,66
V-R9,V,LTE,175,66536,66
V-R9,V,LTE,466,66536,66
V-R9,V,LTE,388,66536,66
V-R9,V,LTE,199,2561,5
V-R9,V,LTE,42,2561,5
V-R10,V,LTE,337,2561,5
V-R9,V,LTE,73,925,2
V-R9,V,LTE,381,2561,5
V-R9,V,LTE,193,66536,66
V-R9,V,LTE,114,66536,66
V-R9,V,LTE,136,925,2
V-R10,V,LTE,492,56240,48
V-R9,V,LTE,355,66536,66
V-R9,V,LTE,453,925,2
V-R9,V,LTE,137,925,2
V-R9,V,LTE,191,925,2
V-R9,V,LTE,207,2561,5
V-R10,V,LTE,381,925,2
V-R9,V,LTE,136,2561,5
V-R9,V,LTE,230,2561,5
V-R9,V,LTE,75,66536,66
V-R9,V,LTE,470,66536,66
V-R9,V,LTE,309,5230,13
V-R9,V,LTE,46,66536,66
V-R9,V,LTE,229,66536,66
V-R9,V,LTE,432,66536,66
V-R9,V,LTE,433,2561,5
V-R10,V,LTE,327,925,2
V-R9,V,LTE,156,66536,66
V-R9,V,LTE,341,925,2
V-R9,V,LTE,245,66536,66
V-R10,V,LTE,116,2561,5
V-R9,V,LTE,103,925,2
V-R9,V,LTE,41,925,2
V-R9,V,LTE,274,66536,66
V-R10,V,LTE,47,56044,48
V-R9,V,LTE,383,2561,5
V-R10,V,LTE,256,925,2
V-R9,V,LTE,77,2561,5
V-R9,V,LTE,302,66536,66
V-R9,V,LTE,215,66536,66
V-R9,V,LTE,137,2561,5
V-R7,V,LTE,75,2561,5
V-R9,V,LTE,40,925,2
V-R9,V,LTE,41,2561,5
V-R9,V,LTE,207,66536,66
V-R9,V,LTE,301,925,2
V-R10,V,LTE,331,2561,5
V-R9,V,LTE,383,66536,66
V-R7,V,LTE,475,2561,5
V-R9,V,LTE,217,2561,5
V-R9,V,LTE,130,925,2
V-R11,V,LTE,77,925,2
V-R9,V,LTE,75,925,2
V-R9,V,LTE,136,66536,66
V-R9,V,LTE,273,66536,66
V-R11,V,LTE,273,925,2
V-R9,V,LTE,45,925,2
V-R10,V,LTE,78,925,2
V-R9,V,LTE,168,2561,5
V-R10,V,LTE,79,925,2
V-R9,V,LTE,24,5230,13
V-R9,V,LTE,195,925,2
V-R9,V,LTE,286,2561,5
V-R9,V,LTE,207,925,2
V-R11,V,LTE,40,66536,66
V-R9,V,LTE,245,2561,5
V-R9,V,LTE,67,2561,5
V-R10,V,LTE,51,2561,5
V-R10,V,LTE,37,2561,5
V-R9,V,LTE,274,2561,5
V-R9,V,LTE,383,925,2
V-R10,V,LTE,274,925,2
V-R10,V,LTE,139,2050,4
V-R10,V,LTE,274,2050,4
V-R9,V,LTE,245,5230,13
V-R9,V,LTE,348,5230,13
V-R8,V,LTE,383,5230,13
V-R9,V,LTE,139,5230,13
V-R9,V,LTE,168,925,2
V-R9,V,LTE,39,925,2
V-R9,V,LTE,374,5230,13
