pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
226,675,69,174270,226,1025,226,67086,226,66686,None,None,None,None,None,None,3,1120
226,675,376,174270,226,1025,226,67086,226,66686,None,None,None,None,None,None,6,1890
226,675,69,174270,226,1025,226,66686,226,67086,None,None,None,None,None,None,1,222
67,9820,None,None,67,5330,67,66686,67,67086,None,None,None,None,None,None,7,599
163,66686,None,None,163,53140,163,53341,163,53539,None,None,None,None,None,None,45,9681
332,66686,None,None,332,675,332,5330,332,67086,None,None,None,None,None,None,5,794
336,66686,None,None,336,675,336,5330,336,67086,None,None,None,None,None,None,102,29036
4,66686,None,None,4,675,4,5330,4,67086,None,None,None,None,None,None,5,188
59,66686,None,None,59,52740,59,52941,59,53139,None,None,None,None,None,None,44,6512
102,66686,None,None,102,52740,102,52941,102,53139,None,None,None,None,None,None,16,357
67,66686,None,None,67,675,67,5330,67,67086,None,None,None,None,None,None,32,2383
348,66686,None,None,348,675,348,5330,348,67086,None,None,None,None,None,None,24,4094
348,66686,556,2256663,348,5330,None,None,None,None,556,2258329,556,2259995,556,2261661,1,11
163,66686,556,2256663,None,None,None,None,None,None,556,2258329,556,2259995,556,2261661,6,1191
163,66686,467,174270,163,53140,163,53341,163,53539,None,None,None,None,None,None,2,87
163,66686,236,174270,163,53140,163,53341,163,53539,None,None,None,None,None,None,7,1341
336,66686,236,174270,336,1025,336,67086,336,675,None,None,None,None,None,None,5,364
88,9820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,389
332,9820,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,136
458,675,None,None,458,53140,458,53341,458,53539,None,None,None,None,None,None,10,2935
59,675,None,None,59,52740,59,52941,59,53139,None,None,None,None,None,None,32,2107
59,675,236,174270,59,52740,59,52941,59,53139,None,None,None,None,None,None,9,875
102,675,236,174270,102,52740,102,52941,102,53139,None,None,None,None,None,None,3,64
88,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,268
67,66686,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,784
278,66686,None,None,278,52740,278,52941,278,53139,None,None,None,None,None,None,151,13102
336,66686,399,2256663,336,1025,None,None,None,None,399,2258329,399,2259995,399,2261661,1,11
332,66686,236,174270,332,675,332,67086,None,None,None,None,None,None,None,None,2,38
332,675,None,None,332,5330,332,66686,332,67086,None,None,None,None,None,None,8,573
88,675,None,None,88,5330,None,None,None,None,None,None,None,None,None,None,31,2259
336,675,None,None,336,5330,336,66686,336,67086,None,None,None,None,None,None,72,9306
88,675,236,174270,None,None,None,None,None,None,None,None,None,None,None,None,18,1668
88,9820,467,174270,None,None,None,None,None,None,None,None,None,None,None,None,4,50
67,675,467,174270,67,1025,67,9820,None,None,None,None,None,None,None,None,6,494
102,675,None,None,102,52740,102,52941,102,53139,None,None,None,None,None,None,12,214
348,675,None,None,348,5330,348,66686,348,67086,None,None,None,None,None,None,16,1608
67,675,None,None,67,5330,67,66686,67,67086,None,None,None,None,None,None,43,3347
163,675,None,None,163,53140,163,53341,163,53539,None,None,None,None,None,None,21,2483
67,675,556,2256663,67,1025,None,None,None,None,556,2258329,556,2259995,556,2261661,3,626
4,675,None,None,4,5330,4,66686,4,67086,None,None,None,None,None,None,4,35
67,66686,556,2256663,67,9820,None,None,None,None,556,2258329,556,2259995,556,2261661,7,410
104,675,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1
278,675,291,174270,278,52740,278,52941,278,53139,None,None,None,None,None,None,1,46
278,675,499,174270,278,52740,278,52941,278,53139,None,None,None,None,None,None,4,916
278,675,769,174270,278,52941,278,53139,None,None,None,None,None,None,None,None,1,52
104,675,769,174270,104,1025,104,9840,None,None,None,None,None,None,None,None,4,726
104,67086,None,None,104,1025,104,5330,104,66686,None,None,None,None,None,None,4,489
104,67086,769,174270,104,66686,104,675,104,1025,None,None,None,None,None,None,1,184
104,67086,376,174270,104,1025,104,675,None,None,None,None,None,None,None,None,2,89
226,67086,376,174270,226,1025,226,66686,226,675,None,None,None,None,None,None,1,14
226,675,None,None,226,5330,226,66686,226,67086,None,None,None,None,None,None,20,1978
226,675,376,174270,226,1025,226,9840,None,None,None,None,None,None,None,None,3,222
455,675,376,174270,None,None,None,None,None,None,None,None,None,None,None,None,9,172
69,1025,None,None,69,52740,None,None,None,None,None,None,None,None,None,None,2,244
67,1025,None,None,67,675,67,5330,67,67086,None,None,None,None,None,None,1,7
