Region,Operator,Type,Cell,Freq,Band
A-R1,A,LTE,293,53139,46
A-R2,A,LTE,489,850,2
A-R2,A,LTE,337,52740,46
A-R2,A,LTE,406,52941,46
A-R3,A,LTE,407,53139,46
A-R2,A,LTE,8,850,2
A-R1,A,LTE,398,52740,46
A-R2,A,LTE,20,850,2
A-R5,A,LTE,193,52740,46
A-R1,A,LTE,18,52941,46
A-R2,A,LTE,413,850,2
A-R1,A,LTE,23,66936,66
A-R1,A,LTE,477,5110,12
A-R2,A,LTE,196,5110,12
A-R1,A,LTE,317,66486,66
A-R2,A,LTE,495,850,2
A-R3,A,LTE,499,5110,12
A-R1,A,LTE,167,850,2
A-R1,A,LTE,240,52740,46
A-R1,A,LTE,241,52941,46
A-R1,A,LTE,157,53139,46
A-R2,A,LTE,343,850,2
A-R2,A,LTE,410,850,2
A-R2,A,LTE,393,52740,46
A-R5,A,LTE,394,52941,46
A-R2,A,LTE,395,53139,46
A-R2,A,LTE,161,850,2
A-R3,A,LTE,410,53139,46
A-R2,A,LTE,370,52740,46
A-R1,A,LTE,362,52941,46
A-R2,A,LTE,17,850,2
A-R5,A,LTE,417,52740,46
A-R2,A,LTE,469,850,2
A-R2,A,LTE,258,52941,46
A-R2,A,LTE,201,850,2
A-R2,A,LTE,29,52740,46
A-R2,A,LTE,159,850,2
A-R2,A,LTE,420,52740,46
A-R2,A,LTE,65,850,2
A-R1,A,LTE,412,52941,46
A-R1,A,LTE,411,52740,46
A-R2,A,LTE,483,850,2
A-R1,A,LTE,413,52941,46
A-R1,A,LTE,396,52740,46
A-R2,A,LTE,204,850,2
A-R1,A,LTE,89,52941,46
A-R1,A,LTE,143,52740,46
A-R1,A,LTE,96,53139,46
A-R2,A,LTE,497,850,2
A-R3,A,LTE,351,52740,46
A-R1,A,LTE,240,52941,46
A-R1,A,LTE,87,53139,46
A-R1,A,LTE,73,850,2
A-R1,A,LTE,324,52740,46
A-R1,A,LTE,325,52941,46
A-R1,A,LTE,149,850,2
A-R5,A,LTE,269,52740,46
A-R1,A,LTE,162,52941,46
A-R1,A,LTE,94,53139,46
A-R2,A,LTE,320,850,2
A-R2,A,LTE,181,850,2
A-R1,A,LTE,276,52740,46
A-R1,A,LTE,321,52941,46
A-R1,A,LTE,495,53139,46
A-R2,A,LTE,227,850,2
A-R5,A,LTE,458,52740,46
A-R5,A,LTE,295,52941,46
A-R1,A,LTE,457,53139,46
A-R2,A,LTE,432,52740,46
A-R1,A,LTE,398,53139,46
A-R1,A,LTE,70,850,2
A-R1,A,LTE,305,53139,46
A-R1,A,LTE,83,850,2
A-R1,A,LTE,5,52740,46
A-R2,A,LTE,199,850,2
A-R5,A,LTE,361,52740,46
A-R1,A,LTE,342,53139,46
A-R2,A,LTE,461,850,2
A-R2,A,LTE,295,850,2
A-R1,A,LTE,366,52740,46
A-R1,A,LTE,367,52941,46
A-R1,A,LTE,368,53139,46
A-R2,A,LTE,325,850,2
A-R3,A,LTE,365,53139,46
A-R1,A,LTE,364,52941,46
A-R1,A,LTE,478,52740,46
A-R2,A,LTE,179,850,2
A-R1,A,LTE,339,52740,46
A-R1,A,LTE,340,52941,46
A-R5,A,LTE,341,53139,46
A-R1,A,LTE,303,52740,46
A-R1,A,LTE,439,5330,14
A-R2,A,LTE,237,850,2
A-R2,A,LTE,92,5330,14
A-R2,A,LTE,157,66486,66
A-R1,A,LTE,361,53140,46
A-R2,A,LTE,147,9820,30
A-R3,A,LTE,400,9820,30
A-R5,A,LTE,185,5330,14
A-R1,A,LTE,419,850,2
A-R1,A,LTE,368,9820,30
A-R1,A,LTE,184,5330,14
A-R1,A,LTE,424,66661,66
A-R1,A,LTE,184,66936,66
A-R2,A,LTE,337,850,2
A-R1,A,LTE,207,66486,66
A-R2,A,LTE,361,850,2
A-R1,A,LTE,282,53140,46
A-R1,A,LTE,283,53341,46
A-R1,A,LTE,284,53539,46
A-R2,A,LTE,256,850,2
A-R1,A,LTE,19,53140,46
A-R2,A,LTE,426,850,2
A-R1,A,LTE,175,52740,46
A-R1,A,LTE,355,52941,46
A-R1,A,LTE,356,53139,46
A-R2,A,LTE,258,850,2
A-R1,A,LTE,379,52941,46
A-R1,A,LTE,378,52740,46
A-R3,A,LTE,380,53139,46
A-R1,A,LTE,346,850,2
A-R1,A,LTE,1,53139,46
A-R3,A,LTE,10,52740,46
A-R1,A,LTE,237,52941,46
A-R1,A,LTE,232,850,2
A-R1,A,LTE,384,52740,46
A-R1,A,LTE,385,52941,46
A-R1,A,LTE,386,53139,46
A-R2,A,LTE,289,850,2
A-R1,A,LTE,357,52740,46
A-R1,A,LTE,449,850,2
A-R2,A,LTE,211,850,2
A-R2,A,LTE,202,850,2
A-R3,A,LTE,77,52740,46
A-R2,A,LTE,416,850,2
A-R2,A,LTE,0,850,2
A-R1,A,LTE,183,5330,14
A-R1,A,LTE,260,53139,46
A-R1,A,LTE,303,53140,46
A-R2,A,LTE,403,850,2
A-R2,A,LTE,293,5330,14
A-R2,A,LTE,206,66486,66
A-R1,A,LTE,228,850,2
A-R1,A,LTE,45,52940,46
A-R1,A,LTE,290,53141,46
A-R1,A,LTE,47,53339,46
A-R2,A,LTE,468,850,2
A-R1,A,LTE,330,5330,14
A-R1,A,LTE,149,66486,66
A-R2,A,LTE,374,66936,66
A-R1,A,LTE,149,66661,66
A-R2,A,LTE,25,850,2
A-R1,A,LTE,253,5330,14
A-R2,A,LTE,463,66486,66
A-R1,A,LTE,466,66936,66
A-R1,A,LTE,466,66661,66
A-R2,A,LTE,297,850,2
A-R1,A,LTE,446,9820,30
A-R1,A,LTE,101,66486,66
A-R1,A,LTE,467,66936,66
A-R1,A,LTE,467,66661,66
A-R1,A,LTE,258,52740,46
A-R5,A,LTE,184,5110,12
A-R2,A,LTE,68,850,2
A-R1,A,LTE,266,52740,46
A-R1,A,LTE,84,52941,46
A-R2,A,LTE,390,53139,46
A-R3,A,LTE,360,5330,14
A-R2,A,LTE,175,66661,66
A-R2,A,LTE,177,9820,30
A-R2,A,LTE,169,66936,66
A-R2,A,LTE,217,850,2
A-R4,A,LTE,76,5330,14
