pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
79,850,None,None,171,5330,99,66936,None,None,None,None,None,None,None,None,84,7002
367,850,None,None,266,5330,59,66486,5,66936,None,None,None,None,None,None,96,4605
367,850,634,174300,299,66661,5,66936,None,None,None,None,None,None,None,None,132,48273
206,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38,1090
206,850,634,174300,73,52941,71,52740,85,53139,None,None,None,None,None,None,7,855
437,850,None,None,72,53139,None,None,None,None,None,None,None,None,None,None,1,31
298,850,787,174270,321,66936,159,66486,None,None,None,None,None,None,None,None,24,10401
174,850,None,None,178,52740,396,52941,397,53139,None,None,None,None,None,None,64,13802
174,850,288,2259995,None,None,None,None,None,None,288,2261661,288,2263327,288,2264993,2,719
174,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,56,33341
383,850,None,None,369,5110,261,66486,360,66936,None,None,None,None,None,None,20,1265
383,850,561,174270,360,66936,261,66486,None,None,None,None,None,None,None,None,7,1958
429,850,561,174270,317,52740,32,52941,310,53139,None,None,None,None,None,None,23,8072
429,850,None,None,317,52740,32,52941,310,53139,None,None,None,None,None,None,79,10750
429,850,288,2259995,None,None,None,None,None,None,288,2261661,288,2263327,288,2264993,61,19429
174,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43,1505
306,850,None,None,353,52740,33,52941,358,53139,None,None,None,None,None,None,76,9232
369,5110,None,None,383,850,261,66486,360,66936,None,None,None,None,None,None,7,1018
91,5110,None,None,291,850,388,66486,89,66936,None,None,None,None,None,None,15,2656
91,5110,288,2259995,291,850,None,None,None,None,None,None,None,None,None,None,2,1380
230,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,7187
230,5110,593,2259995,298,850,None,None,None,None,593,2261661,593,2263327,593,2264993,5,1742
429,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,36,5307
306,850,561,174270,33,52941,358,53139,None,None,None,None,None,None,None,None,1,23
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,377,31198
91,5110,593,2259995,291,850,None,None,None,None,593,2261661,593,2263327,593,2264993,2,82
230,5110,None,None,298,850,159,66486,321,66936,None,None,None,None,None,None,14,1615
478,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46,3514
104,66936,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18,1186
23,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99,8647
23,5110,6,2259999,284,850,104,66936,None,None,None,None,None,None,None,None,24,13758
284,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31,1183
284,850,704,174270,104,66936,None,None,None,None,None,None,None,None,None,None,38,16556
284,850,6,2259999,23,5110,104,66936,None,None,None,None,None,None,None,None,1,824
217,9820,None,None,182,850,64,66486,202,66936,None,None,None,None,None,None,26,1305
217,9820,704,174270,182,850,None,None,None,None,None,None,None,None,None,None,114,25676
104,66936,None,None,284,850,23,5110,None,None,None,None,None,None,None,None,38,395
244,66936,None,None,303,850,478,5110,None,None,None,None,None,None,None,None,52,1552
244,66936,602,174270,303,850,None,None,None,None,None,None,None,None,None,None,14,3565
430,5110,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54,49915
411,850,None,None,273,53139,None,None,None,None,None,None,None,None,None,None,101,12043
411,850,818,2259995,None,None,None,None,None,None,818,2261661,818,2263327,818,2264993,41,8770
302,850,None,None,39,53139,None,None,None,None,None,None,None,None,None,None,20,3268
302,850,944,2259995,None,None,None,None,None,None,944,2261661,944,2263327,944,2264993,219,5456
302,850,None,None,38,52740,189,52941,39,53139,None,None,None,None,None,None,206,4571
302,850,818,2259995,None,None,None,None,None,None,818,2261661,818,2263327,818,2264993,10,589
411,850,None,None,218,52941,None,None,None,None,None,None,None,None,None,None,87,8093
302,850,None,None,38,52740,None,None,None,None,None,None,None,None,None,None,20,3953
411,850,None,None,426,52740,None,None,None,None,None,None,None,None,None,None,86,11384
302,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28,3845
462,850,0,2259995,None,None,None,None,None,None,None,None,None,None,None,None,63,15408
462,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43,1509
441,850,None,None,80,52941,None,None,None,None,None,None,None,None,None,None,15,1059
39,850,None,None,357,53341,None,None,None,None,None,None,None,None,None,None,5,166
39,850,642,174270,224,53539,None,None,None,None,None,None,None,None,None,None,1,9
39,850,741,174270,224,53539,None,None,None,None,None,None,None,None,None,None,1,23
441,850,741,174270,79,52740,80,52941,81,53139,None,None,None,None,None,None,84,14642
176,850,741,174270,170,52740,271,52941,272,53139,None,None,None,None,None,None,35,7696
324,850,741,174270,37,52740,171,52941,163,53139,None,None,None,None,None,None,4,235
406,850,741,174270,282,52740,283,52941,284,53139,None,None,None,None,None,None,10,1037
176,850,634,174270,None,None,271,52941,None,None,None,None,None,None,None,None,1,40
446,850,634,174270,267,52740,66,52941,82,53139,None,None,None,None,None,None,7,375
446,850,None,None,267,52740,66,52941,82,53139,None,None,None,None,None,None,14,3077
406,850,None,None,282,52740,None,None,None,None,None,None,None,None,None,None,25,4319
406,850,986,2259995,None,None,None,None,None,None,986,2261661,986,2263327,986,2264993,45,6552
406,850,None,None,282,52740,283,52941,None,None,None,None,None,None,None,None,5,31
462,850,None,None,302,53139,None,None,None,None,None,None,None,None,None,None,39,8197
441,850,None,None,79,52740,None,None,None,None,None,None,None,None,None,None,19,1230
39,850,453,174270,224,53539,None,None,None,None,None,None,None,None,None,None,1,8
441,850,453,174270,79,52740,80,52941,81,53139,None,None,None,None,None,None,14,1042
441,850,741,174270,None,None,None,None,81,53139,None,None,None,None,None,None,2,89
176,850,453,174270,None,None,None,None,None,None,None,None,None,None,None,None,16,2476
176,850,741,174270,None,None,None,None,None,None,None,None,None,None,None,None,11,4859
176,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27,1323
176,850,524,2259995,None,None,None,None,None,None,524,2261661,524,2263327,524,2264993,26,7626
446,850,None,None,267,52740,None,None,None,None,None,None,None,None,None,None,11,4284
446,850,524,2259995,None,None,None,None,None,None,524,2261661,524,2263327,524,2264993,9,261
406,850,None,None,284,53139,None,None,None,None,None,None,None,None,None,None,25,2207
462,850,None,None,300,52740,None,None,None,None,None,None,None,None,None,None,30,6958
441,850,None,None,81,53139,None,None,None,None,None,None,None,None,None,None,14,2449
39,850,None,None,224,53539,None,None,None,None,None,None,None,None,None,None,3,82
39,850,741,174270,359,53140,None,None,None,None,None,None,None,None,None,None,2,52
446,850,741,174270,267,52740,66,52941,82,53139,None,None,None,None,None,None,11,1594
462,850,None,None,301,52941,None,None,None,None,None,None,None,None,None,None,22,5405
462,850,986,2259995,None,None,None,None,None,None,986,2261661,986,2263327,986,2264993,5,1242
462,850,None,None,300,52740,301,52941,302,53139,None,None,None,None,None,None,29,2014
446,850,None,None,66,52941,82,53139,None,None,None,None,None,None,None,None,9,3160
406,850,None,None,283,52941,None,None,None,None,None,None,None,None,None,None,25,2570
39,850,None,None,359,53140,None,None,None,None,None,None,None,None,None,None,2,44
39,850,741,174270,357,53341,None,None,None,None,None,None,None,None,None,None,2,41
446,850,634,174270,None,None,66,52941,82,53139,None,None,None,None,None,None,2,48
446,850,741,174270,None,None,66,52941,82,53139,None,None,None,None,None,None,2,40
176,850,None,None,271,52941,None,None,None,None,None,None,None,None,None,None,12,1353
324,850,None,None,171,52941,None,None,None,None,None,None,None,None,None,None,16,3600
176,850,None,None,272,53139,None,None,None,None,None,None,None,None,None,None,14,4562
446,850,None,None,82,53139,None,None,None,None,None,None,None,None,None,None,10,3860
