Region,Operator,Type,Cell,Freq,Band
T-R12,T,LTE,222,67011,66
T-R12,T,LTE,4,67011,66
T-R12,T,LTE,50,66736,66
T-R12,T,LTE,59,66736,66
T-R12,T,LTE,49,66736,66
T-R12,T,LTE,70,66736,66
T-R12,T,LTE,71,66736,66
T-R12,T,LTE,57,66736,66
T-R12,T,LTE,389,66736,66
T-R12,T,LTE,13,66736,66
T-R12,T,LTE,152,66736,66
T-R12,T,LTE,12,66736,66
T-R12,T,LTE,58,66736,66
T-R12,T,LTE,473,66736,66
T-R12,T,LTE,151,66736,66
T-R12,T,LTE,150,66736,66
T-R12,T,LTE,47,677,2
T-R12,T,LTE,81,677,2
T-R12,T,LTE,14,66736,66
T-R12,T,LTE,95,66736,66
T-R12,T,LTE,129,67011,66
T-R12,T,LTE,38,67011,66
T-R12,T,LTE,346,67011,66
T-R12,T,LTE,281,67011,66
T-R12,T,LTE,0,67011,66
T-R12,T,LTE,96,677,2
T-R12,T,LTE,227,677,2
T-R12,T,LTE,98,677,2
T-R12,T,LTE,214,5035,12
T-R12,T,LTE,226,677,2
T-R12,T,LTE,97,677,2
T-R12,T,LTE,82,677,2
T-R12,T,LTE,207,5035,12
T-R12,T,LTE,365,677,2
T-R12,T,LTE,46,677,2
T-R12,T,LTE,85,677,2
T-R12,T,LTE,145,67011,66
T-R12,T,LTE,114,67011,66
T-R12,T,LTE,45,67011,66
T-R12,T,LTE,437,67011,66
T-R12,T,LTE,432,67011,66
T-R12,T,LTE,83,677,2
T-R12,T,LTE,45,39874,41
T-R12,T,LTE,488,677,2
T-R12,T,LTE,145,66736,66
T-R12,T,LTE,90,66736,66
T-R12,T,LTE,48,66736,66
T-R12,T,LTE,355,66736,66
T-R12,T,LTE,53,40072,41
T-R12,T,LTE,124,67011,66
T-R12,T,LTE,69,66736,66
T-R12,T,LTE,490,66736,66
T-R12,T,LTE,225,39874,41
T-R12,T,LTE,173,39874,41
T-R12,T,LTE,225,40072,41
T-R12,T,LTE,197,5035,12
T-R12,T,LTE,196,5035,12
T-R12,T,LTE,366,677,2
T-R12,T,LTE,45,677,2
T-R13,T,LTE,45,40072,41
T-R12,T,LTE,215,5035,12
T-R12,T,LTE,480,5035,12
T-R13,T,LTE,67,5035,12
T-R12,T,LTE,379,66736,66
T-R12,T,LTE,187,67011,66
T-R12,T,LTE,10,677,2
T-R12,T,LTE,321,39874,41
T-R12,T,LTE,53,39874,41
T-R13,T,LTE,49,39874,41
T-R12,T,LTE,84,677,2
T-R12,T,LTE,209,5035,12
T-R12,T,LTE,213,5035,12
T-R12,T,LTE,403,41490,41
T-R12,T,LTE,86,677,2
T-R12,T,LTE,7,40072,41
T-R12,T,Sub6,763,521550,n41
T-R12,T,Sub6,660,125330,n71
T-R12,T,Sub6,727,125330,n71
T-R12,T,Sub6,840,521550,n41
T-R12,T,Sub6,805,521550,n41
T-R12,T,Sub6,491,125330,n71
T-R12,T,Sub6,66,125330,n71
T-R12,T,Sub6,672,521550,n41
T-R12,T,Sub6,670,521550,n41
T-R12,T,Sub6,144,521550,n41
T-R12,T,Sub6,629,521550,n41
T-R12,T,Sub6,302,521550,n41
T-R12,T,Sub6,545,125330,n71
T-R12,T,Sub6,424,125330,n71
T-R12,T,Sub6,474,125330,n71
T-R12,T,Sub6,182,125330,n71
T-R12,T,Sub6,364,125330,n71
T-R12,T,Sub6,201,521550,n41
T-R12,T,Sub6,803,521550,n41
T-R12,T,Sub6,805,519630,n41
T-R12,T,Sub6,840,519630,n41
T-R12,T,Sub6,629,519630,n41
T-R13,T,Sub6,302,519630,n41
T-R12,T,Sub6,144,519630,n41
T-R12,T,Sub6,201,519630,n41
T-R12,T,Sub6,763,519630,n41
T-R12,T,Sub6,672,519630,n41
T-R12,T,Sub6,803,519630,n41
T-R12,T,Sub6,177,125330,n71
T-R12,T,Sub6,559,519630,n41
T-R12,T,Sub6,678,125330,n71
T-R12,T,Sub6,409,125330,n71
T-R12,T,Sub6,777,125330,n71
T-R12,T,Sub6,23,521550,n41
T-R12,T,Sub6,23,519630,n41
T-R12,T,Sub6,194,125330,n71
T-R13,T,Sub6,670,519630,n41
T-R12,T,Sub6,231,519630,n41
T-R12,T,LTE,279,67011,66
T-R12,T,LTE,291,67011,66
T-R12,T,LTE,372,67011,66
T-R12,T,LTE,312,67011,66
T-R12,T,LTE,224,67011,66
T-R12,T,LTE,434,67011,66
T-R12,T,LTE,102,67011,66
T-R12,T,LTE,3,67011,66
T-R12,T,LTE,414,66736,66
T-R12,T,LTE,294,66736,66
T-R12,T,LTE,242,66736,66
T-R12,T,LTE,308,66736,66
T-R12,T,LTE,454,66736,66
T-R12,T,LTE,451,66736,66
T-R12,T,LTE,380,66736,66
T-R12,T,LTE,40,66736,66
T-R12,T,LTE,416,66736,66
T-R12,T,LTE,240,66736,66
T-R12,T,LTE,387,66736,66
T-R12,T,LTE,489,66736,66
T-R12,T,LTE,374,66736,66
T-R12,T,LTE,103,66736,66
T-R12,T,LTE,60,66736,66
T-R12,T,LTE,354,66736,66
T-R12,T,LTE,137,68911,71
T-R12,T,LTE,62,66736,66
T-R12,T,LTE,356,66736,66
T-R12,T,LTE,191,66736,66
T-R12,T,LTE,189,66736,66
T-R12,T,LTE,190,66736,66
T-R12,T,LTE,66,66736,66
T-R12,T,LTE,424,66736,66
T-R12,T,LTE,304,66736,66
T-R12,T,LTE,472,66736,66
T-R12,T,LTE,361,66736,66
T-R12,T,LTE,68,66736,66
T-R12,T,LTE,388,66736,66
T-R12,T,LTE,447,66736,66
T-R12,T,LTE,452,66736,66
T-R12,T,LTE,208,5035,12
T-R12,T,LTE,411,66736,66
T-R12,T,LTE,46,66736,66
T-R12,T,LTE,148,66736,66
T-R12,T,LTE,10,66736,66
T-R12,T,LTE,15,66736,66
T-R12,T,LTE,225,677,2
T-R12,T,LTE,102,677,2
T-R12,T,LTE,397,66736,66
T-R12,T,LTE,393,66736,66
T-R12,T,LTE,402,66736,66
T-R12,T,LTE,491,66736,66
T-R12,T,LTE,79,677,2
T-R12,T,LTE,68,5035,12
T-R12,T,LTE,63,66736,66
T-R12,T,LTE,78,66736,66
T-R12,T,LTE,320,677,2
T-R12,T,LTE,103,677,2
T-R12,T,LTE,137,677,2
T-R12,T,LTE,345,67011,66
T-R12,T,LTE,180,67011,66
T-R12,T,LTE,230,66736,66
T-R12,T,LTE,142,66736,66
T-R12,T,LTE,478,677,2
T-R12,T,LTE,104,677,2
T-R12,T,LTE,436,66736,66
T-R12,T,LTE,22,677,2
T-R12,T,LTE,318,677,2
T-R12,T,LTE,208,66736,66
T-R12,T,LTE,53,66736,66
T-R12,T,LTE,314,66736,66
T-R12,T,LTE,56,677,2
T-R12,T,LTE,274,66736,66
T-R12,T,LTE,342,66736,66
T-R12,T,LTE,106,66736,66
T-R12,T,LTE,3,677,2
T-R12,T,LTE,105,66736,66
T-R12,T,LTE,358,677,2
T-R12,T,LTE,276,66736,66
T-R12,T,LTE,472,5035,12
T-R12,T,LTE,166,66736,66
T-R12,T,LTE,298,66736,66
T-R12,T,LTE,322,66736,66
T-R12,T,LTE,471,66736,66
T-R12,T,LTE,420,40072,41
T-R12,T,LTE,218,40072,41
T-R12,T,LTE,70,677,2
T-R12,T,LTE,357,677,2
T-R12,T,LTE,90,677,2
T-R12,T,LTE,468,66736,66
T-R12,T,LTE,478,66736,66
T-R12,T,LTE,428,677,2
T-R12,T,LTE,462,677,2
T-R12,T,LTE,423,677,2
T-R12,T,LTE,281,677,2
T-R12,T,LTE,236,677,2
T-R12,T,LTE,59,677,2
T-R12,T,LTE,410,677,2
T-R12,T,LTE,457,677,2
T-R12,T,LTE,192,66736,66
T-R12,T,LTE,465,66736,66
T-R12,T,LTE,431,66736,66
T-R12,T,LTE,368,66736,66
T-R12,T,LTE,461,677,2
T-R12,T,LTE,486,677,2
T-R12,T,LTE,413,66736,66
T-R12,T,LTE,312,66736,66
T-R12,T,LTE,395,66736,66
T-R12,T,LTE,399,66736,66
T-R12,T,LTE,132,677,2
T-R12,T,LTE,82,66736,66
T-R12,T,LTE,159,677,2
T-R12,T,LTE,258,68911,71
T-R12,T,LTE,91,68911,71
T-R12,T,LTE,243,66736,66
T-R12,T,LTE,422,66736,66
T-R12,T,LTE,4,677,2
T-R12,T,LTE,234,677,2
T-R12,T,LTE,352,677,2
T-R12,T,LTE,376,66736,66
T-R12,T,LTE,461,66736,66
T-R12,T,LTE,42,66736,66
T-R12,T,LTE,221,66736,66
T-R12,T,LTE,495,66736,66
T-R12,T,LTE,385,677,2
T-R12,T,LTE,2,66736,66
T-R12,T,LTE,200,66736,66
T-R12,T,LTE,29,66736,66
T-R12,T,LTE,266,677,2
T-R12,T,LTE,177,677,2
T-R12,T,LTE,137,66736,66
T-R12,T,LTE,486,66736,66
T-R12,T,LTE,293,5035,12
T-R12,T,LTE,186,66736,66
T-R12,T,LTE,123,66736,66
T-R12,T,LTE,404,677,2
T-R12,T,LTE,198,677,2
T-R12,T,LTE,43,66736,66
T-R12,T,LTE,212,66736,66
T-R12,T,LTE,130,66736,66
T-R12,T,LTE,210,677,2
T-R12,T,LTE,311,66736,66
T-R12,T,LTE,7,39874,41
T-R12,T,LTE,430,66736,66
T-R12,T,LTE,164,66736,66
T-R12,T,LTE,264,68911,71
T-R12,T,LTE,430,677,2
T-R12,T,LTE,470,677,2
T-R12,T,LTE,152,677,2
T-R12,T,LTE,139,677,2
