Region,Operator,Type,Channel,Freq,Band,dl_freq_first,dl_freq_last,dl_width,dl_channel_first,dl_channel_last
V,V,LTE,66536,2120.000000,66,2110.000000,2200.000000,90.000000,66436,67335
V,V,LTE,55744,3600.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55746,3600.600000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56340,3660.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55944,3620.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,925,1962.500000,2,1930.000000,1990.000000,60.000000,600,1199
V,V,LTE,55942,3620.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56140,3640.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,47489,5219.900000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,47291,5200.100000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,47090,5180.000000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,2561,885.100000,5,869.000000,894.000000,25.000000,2400,2649
V,V,LTE,2050,2120.000000,4,2110.000000,2155.000000,45.000000,1950,2399
V,V,LTE,56142,3640.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,5230,751.000000,13,746.000000,756.000000,10.000000,5180,5279
V,V,LTE,56640,3690.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56244,3650.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56046,3630.600000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56442,3670.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,53341,5805.100000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,53140,5785.000000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,56440,3670.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56044,3630.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56242,3650.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,52740,5745.000000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,52941,5765.100000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,53139,5784.900000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,56240,3650.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56042,3630.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55340,3560.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,53141,5785.100000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,52940,5765.000000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,53539,5824.900000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,55640,3590.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,MW,2071667,27550.080000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,Sub6,176930,884.650000,n5,869.000000,894.000000,25.000000,173800,178800
V,V,LTE,1000,1970.000000,2,1930.000000,1990.000000,60.000000,600,1199
V,V,MW,2073333,27650.040000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,MW,2074999,27750.000000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,MW,2076665,27849.960000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,Sub6,177020,885.100000,n5,869.000000,894.000000,25.000000,173800,178800
V,V,LTE,47290,5200.000000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,47491,5220.100000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,MW,2239999,37650.000000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
V,V,LTE,66836,2150.000000,66,2110.000000,2200.000000,90.000000,66436,67335
V,V,LTE,66586,2125.000000,66,2110.000000,2200.000000,90.000000,66436,67335
V,V,LTE,1100,1980.000000,2,1930.000000,1990.000000,60.000000,600,1199
V,V,LTE,67086,2175.000000,66,2110.000000,2200.000000,90.000000,66436,67335
V,V,LTE,2350,2150.000000,4,2110.000000,2155.000000,45.000000,1950,2399
V,V,LTE,2100,2125.000000,4,2110.000000,2155.000000,45.000000,1950,2399
V,V,LTE,56144,3640.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56540,3680.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56342,3660.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56293,3655.300000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55344,3560.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55542,3580.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55740,3600.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56040,3630.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55644,3590.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55842,3610.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56090,3635.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55642,3590.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55840,3610.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55940,3620.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,55742,3600.200000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,56190,3645.000000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,LTE,53339,5804.900000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,55544,3580.400000,48,3550.000000,3700.000000,150.000000,55240,56739
V,V,MW,2078331,27949.920000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,MW,2083329,28249.800000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,MW,2079997,28049.880000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,MW,2081663,28149.840000,n261,27500.000000,28350.000000,850.000000,2070833,2084999
V,V,LTE,1050,1975.000000,2,1930.000000,1990.000000,60.000000,600,1199
V,V,LTE,47689,5239.900000,46,5150.000000,5925.000000,775.000000,46790,54539
V,V,LTE,49,2114.900000,1,2110.000000,2170.000000,60.000000,0,599
