pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
108,66536,360,2239999,360,47291,108,2561,None,None,None,None,None,None,None,None,1,2
108,66536,None,None,360,47291,108,2561,None,None,None,None,None,None,None,None,1,5
108,66536,439,176930,360,47291,None,None,None,None,None,None,None,None,None,None,3,146
224,66536,None,None,104,55744,104,55942,104,56140,None,None,None,None,None,None,2,9
364,66536,224,176930,346,47090,None,None,None,None,None,None,None,None,None,None,1,14
239,66536,181,176930,109,55744,None,None,None,None,None,None,None,None,None,None,1,4
459,66536,None,None,24,47291,24,47090,24,47489,None,None,None,None,None,None,1,9
52,66536,352,2239999,352,47489,352,47291,352,47090,None,None,None,None,None,None,1,53
239,66536,None,None,110,47291,110,47090,239,2561,None,None,None,None,None,None,1,6
81,66536,224,176930,38,55744,None,None,None,None,None,None,None,None,None,None,5,134
52,66536,352,2239999,352,47489,352,47090,352,47291,None,None,None,None,None,None,1,64
81,66536,38,2071667,38,55942,38,55744,38,56140,None,None,None,None,None,None,1,467
345,66536,345,176930,427,55942,None,None,None,None,None,None,None,None,None,None,3,315
345,66536,224,176930,427,55942,None,None,None,None,None,None,None,None,None,None,2,28
353,66536,None,None,429,47090,429,47291,353,2561,None,None,None,None,None,None,2,8
353,66536,345,176930,429,47090,429,47291,353,2561,None,None,None,None,None,None,1,1
353,66536,431,2239999,429,47090,429,47291,353,2561,None,None,None,None,None,None,1,28
81,66536,356,176930,38,55744,None,None,None,None,None,None,None,None,None,None,2,30
353,66536,353,176930,431,55942,None,None,None,None,None,None,None,None,None,None,2,184
353,66536,345,176930,431,55942,None,None,None,None,None,None,None,None,None,None,2,21
239,66536,356,176930,109,55942,None,None,None,None,None,None,None,None,None,None,1,6
115,66536,None,None,97,56140,97,55744,97,55942,None,None,None,None,None,None,1,16
353,66536,None,None,431,55942,431,56140,431,55744,None,None,None,None,None,None,1,3
353,66536,429,2239999,431,55942,431,56140,431,55744,None,None,None,None,None,None,1,200
460,66536,229,176930,None,None,None,None,None,None,None,None,None,None,None,None,1,8
313,66536,5,2239999,4,55744,4,55942,4,56140,None,None,None,None,None,None,1,99
313,66536,4,2239999,4,56140,4,55942,4,55744,None,None,None,None,None,None,1,659
220,66536,None,None,6,47489,6,47291,6,47090,None,None,None,None,None,None,4,983
388,66536,None,None,134,55942,134,55744,134,56140,None,None,None,None,None,None,1,5
388,66536,181,176930,134,55744,None,None,None,None,None,None,None,None,None,None,3,209
115,5230,315,2071667,115,2050,None,None,None,None,None,None,None,None,None,None,1,25
115,5230,None,None,115,2050,None,None,None,None,None,None,None,None,None,None,1,44
433,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,644
53,5230,None,None,53,2050,None,None,None,None,None,None,None,None,None,None,1,700
213,66536,108,176930,21,56140,None,None,None,None,None,None,None,None,None,None,1,8
413,66536,108,176930,477,47489,477,47090,477,47291,None,None,None,None,None,None,1,1
413,66536,479,2239999,477,47489,477,47090,477,47291,None,None,None,None,None,None,1,57
386,66536,108,176930,386,5230,None,None,None,None,None,None,None,None,None,None,1,1
106,66536,107,176930,86,56140,None,None,None,None,None,None,None,None,None,None,5,1012
219,66536,107,176930,42,55744,None,None,None,None,None,None,None,None,None,None,1,21
388,66536,219,176930,134,56140,None,None,None,None,None,None,None,None,None,None,1,12
285,66536,134,2071667,285,2561,285,925,None,None,None,None,None,None,None,None,1,1
446,66536,357,2071667,111,56140,111,55744,111,55942,None,None,None,None,None,None,1,1
356,66536,357,2071667,238,55744,238,55942,238,56140,None,None,None,None,None,None,1,1
224,66536,103,2239999,104,56140,104,55942,104,55744,None,None,None,None,None,None,1,48
224,66536,107,2239999,104,47489,104,47090,104,47291,None,None,None,None,None,None,1,153
256,66536,109,2071667,256,5230,None,None,None,None,None,None,None,None,None,None,1,49
313,5230,5,2239999,4,55744,4,56140,4,55942,None,None,None,None,None,None,1,218
313,5230,None,None,4,47489,4,47291,4,47090,None,None,None,None,None,None,1,4
313,5230,4,2239999,4,47489,4,47291,4,47090,None,None,None,None,None,None,1,950
313,5230,None,None,4,56140,4,55744,4,55942,None,None,None,None,None,None,1,445
220,5230,None,None,6,47489,6,47291,6,47090,None,None,None,None,None,None,1,189
220,66536,None,None,6,55744,6,56140,6,55942,None,None,None,None,None,None,1,16
386,66536,413,176930,386,5230,None,None,None,None,None,None,None,None,None,None,1,1
106,66536,108,176930,86,56140,None,None,None,None,None,None,None,None,None,None,3,181
106,66536,219,176930,86,56140,None,None,None,None,None,None,None,None,None,None,1,12
109,66536,None,None,175,56140,175,55744,175,55942,None,None,None,None,None,None,2,388
388,66536,388,176930,134,47489,134,47090,134,47291,None,None,None,None,None,None,1,1
388,66536,134,2071667,134,47489,134,47090,134,47291,None,None,None,None,None,None,3,872
388,66536,357,2071667,134,47489,134,47090,134,47291,None,None,None,None,None,None,4,376
446,66536,357,2071667,111,55744,111,56140,111,55942,None,None,None,None,None,None,2,2
356,66536,112,2071667,238,47489,238,47291,238,47090,None,None,None,None,None,None,1,1
356,66536,315,2071667,238,47489,238,47291,238,47090,None,None,None,None,None,None,2,248
283,66536,None,None,283,5230,None,None,None,None,None,None,None,None,None,None,2,104
433,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,1506
153,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18,7898
313,5230,None,None,5,53341,5,53140,313,66536,None,None,None,None,None,None,1,574
459,66536,None,None,24,56140,24,55942,24,55744,None,None,None,None,None,None,1,4
286,66536,439,176930,286,5230,None,None,None,None,None,None,None,None,None,None,1,1
286,66536,294,2239999,286,5230,None,None,None,None,None,None,None,None,None,None,1,59
286,66536,224,176930,286,5230,None,None,None,None,None,None,None,None,None,None,1,1
286,66536,296,2239999,286,5230,None,None,None,None,None,None,None,None,None,None,1,2
313,66536,None,None,4,47090,4,47489,4,47291,None,None,None,None,None,None,1,5
108,66536,360,2239999,360,47489,360,47090,360,47291,None,None,None,None,None,None,1,14
108,66536,None,None,360,47090,360,47489,360,47291,None,None,None,None,None,None,1,8
219,66536,314,176930,42,55744,None,None,None,None,None,None,None,None,None,None,2,13
313,66536,314,176930,4,55744,4,56140,4,55942,None,None,None,None,None,None,1,1
313,66536,4,2239999,4,55744,4,56140,4,55942,None,None,None,None,None,None,1,55
219,66536,None,None,42,55744,42,56140,42,55942,None,None,None,None,None,None,1,4
219,66536,314,176930,42,56140,None,None,None,None,None,None,None,None,None,None,1,5
313,66536,5,2239999,4,56140,4,55744,4,55942,None,None,None,None,None,None,1,127
106,66536,314,176930,86,55744,None,None,None,None,None,None,None,None,None,None,2,29
227,66536,None,None,227,5230,None,None,None,None,None,None,None,None,None,None,2,21
227,66536,165,2239999,227,5230,None,None,None,None,None,None,None,None,None,None,1,128
160,66536,None,None,160,5230,None,None,None,None,None,None,None,None,None,None,1,4
160,66536,107,176930,160,5230,None,None,None,None,None,None,None,None,None,None,1,1
408,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
386,5230,None,None,386,2050,None,None,None,None,None,None,None,None,None,None,1,451
219,5230,None,None,42,55942,42,56140,42,55744,None,None,None,None,None,None,1,77
286,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
313,925,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,9
313,925,314,176930,4,47090,4,47291,4,47489,None,None,None,None,None,None,1,75
