pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
411,850,None,None,273,53139,None,None,None,None,None,None,None,None,None,None,98,15935
411,850,818,2259995,None,None,None,None,None,None,818,2261661,818,2263327,818,2264993,32,3147
302,850,None,None,39,53139,None,None,None,None,None,None,None,None,None,None,14,1949
302,850,944,2259995,None,None,None,None,None,None,944,2261661,944,2263327,944,2264993,58,4848
302,850,None,None,38,52740,189,52941,39,53139,None,None,None,None,None,None,48,2654
302,850,818,2259995,None,None,None,None,None,None,818,2261661,818,2263327,818,2264993,9,456
411,850,None,None,218,52941,None,None,None,None,None,None,None,None,None,None,85,9987
411,850,None,None,426,52740,None,None,None,None,None,None,None,None,None,None,92,12787
411,850,667,174270,426,52740,218,52941,273,53139,None,None,None,None,None,None,9,991
302,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,13,1352
20,850,None,None,193,52740,None,None,None,None,None,None,None,None,None,None,17,2488
469,850,None,None,258,52941,None,None,None,None,None,None,None,None,None,None,34,5329
363,850,None,None,12,52941,None,None,None,None,None,None,None,None,None,None,4,2038
307,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,78,1978
307,850,269,174300,64,53139,None,None,None,None,None,None,None,None,None,None,2,611
307,850,898,174300,None,None,None,None,None,None,None,None,None,None,None,None,1,9
307,850,805,174300,None,None,None,None,None,None,None,None,None,None,None,None,9,1045
307,850,269,174300,None,None,None,None,None,None,None,None,None,None,None,None,9,964
307,850,642,174300,None,None,None,None,None,None,None,None,None,None,None,None,18,809
201,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9,1627
428,850,None,None,281,5330,352,66486,148,66936,None,None,None,None,None,None,5,53
428,850,642,174300,148,66661,148,66936,None,None,None,None,None,None,None,None,6,382
201,850,None,None,29,52740,None,None,None,None,None,None,None,None,None,None,14,2140
469,850,None,None,432,52740,None,None,None,None,None,None,None,None,None,None,45,5463
363,850,None,None,31,53139,None,None,None,None,None,None,None,None,None,None,9,3543
307,850,269,174300,62,52740,63,52941,None,None,None,None,None,None,None,None,2,398
307,850,119,174300,None,None,None,None,None,None,None,None,None,None,None,None,6,589
428,850,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7,202
169,66936,561,174300,238,9820,307,66661,None,None,None,None,None,None,None,None,1,32
169,66936,None,None,217,850,76,5330,232,66486,None,None,None,None,None,None,12,1278
169,66936,583,174300,307,66661,217,850,None,None,None,None,None,None,None,None,1,2
272,850,None,None,38,52740,None,None,None,None,None,None,None,None,None,None,7,518
369,850,284,2259995,None,None,None,None,None,None,284,2261661,284,2263327,284,2264993,6,402
53,850,None,None,30,53139,None,None,None,None,None,None,None,None,None,None,3,96
53,850,807,2259995,None,None,None,None,None,None,807,2261661,807,2263327,807,2264993,7,1083
369,850,None,None,258,52941,None,None,None,None,None,None,None,None,None,None,8,255
53,850,None,None,436,52941,None,None,None,None,None,None,None,None,None,None,7,280
