Region,Operator,Type,Freq,Band
A-R1,A,MW,2259995,
A-R1,A,MW,2261661,
A-R1,A,MW,2263327,
A-R1,A,MW,2264993,
A-R1,A,MW,2259999,
A-R1,A,MW,2261665,
A-R1,A,MW,2271657,
A-R1,A,MW,2266659,
A-R1,A,MW,2268325,
A-R1,A,MW,2269991,
A-R1,A,Sub6,174300,
A-R1,A,Sub6,174270,
A-R1,A,Sub6,423150,
A-R1,A,LTE,850,
A-R1,A,LTE,5330,
A-R1,A,LTE,66936,
A-R1,A,LTE,66486,
A-R1,A,LTE,66661,
A-R1,A,LTE,52941,
A-R1,A,LTE,52740,
A-R1,A,LTE,53139,
A-R1,A,LTE,5110,
A-R1,A,LTE,9820,
A-R1,A,LTE,53341,
A-R1,A,LTE,53539,
A-R1,A,LTE,53140,
A-R1,A,LTE,52940,
A-R1,A,LTE,53141,
A-R1,A,LTE,53339,
A-R1,A,LTE,9840,
