pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,instance_number,duration_sample_number
151,66536,145,2071667,151,2561,151,925,None,None,None,None,None,None,None,None,9,4100
434,66536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19,3870
434,66536,None,None,434,5230,None,None,None,None,None,None,None,None,None,None,120,12107
434,66536,352,176930,None,None,None,None,None,None,None,None,None,None,None,None,28,1990
434,66536,197,176930,None,None,None,None,None,None,None,None,None,None,None,None,59,11979
434,66536,216,176930,None,None,None,None,None,None,None,None,None,None,None,None,13,1068
114,66536,216,176930,None,None,None,None,None,None,None,None,None,None,None,None,67,7562
114,66536,144,176930,None,None,None,None,None,None,None,None,None,None,None,None,60,6617
206,66536,None,None,206,2561,206,925,None,None,None,None,None,None,None,None,53,10256
352,66536,352,176930,145,55942,None,None,None,None,None,None,None,None,None,None,10,2948
151,66536,None,None,151,2561,151,925,None,None,None,None,None,None,None,None,24,2359
434,66536,147,176930,None,None,None,None,None,None,None,None,None,None,None,None,12,193
250,66536,None,None,280,47090,280,47291,250,2561,None,None,None,None,None,None,4,633
250,66536,250,176930,279,55942,None,None,None,None,None,None,None,None,None,None,18,3799
151,66536,352,176930,151,2561,151,925,None,None,None,None,None,None,None,None,2,2
250,66536,None,None,279,56140,279,55744,279,55942,None,None,None,None,None,None,12,1277
250,66536,250,176930,279,56140,None,None,None,None,None,None,None,None,None,None,24,4666
360,66536,None,None,360,2561,360,925,None,None,None,None,None,None,None,None,32,1652
352,66536,352,176930,145,55744,None,None,None,None,None,None,None,None,None,None,5,1036
151,66536,None,None,151,925,151,2561,None,None,None,None,None,None,None,None,40,4751
151,66536,145,2071667,151,925,151,2561,None,None,None,None,None,None,None,None,4,537
114,66536,352,176930,None,None,None,None,None,None,None,None,None,None,None,None,5,332
