Region,Operator,Type,Freq,Band
T-R12,T,Sub6,521550,
T-R12,T,Sub6,125330,
T-R12,T,Sub6,519630,
T-R12,T,LTE,67011,
T-R12,T,LTE,66736,
T-R12,T,LTE,677,
T-R12,T,LTE,5035,
T-R12,T,LTE,39874,
T-R12,T,LTE,40072,
T-R12,T,LTE,41490,
