rat,thput_10,thput_25,thput_50,thput_75,thput_90
mw,17.654847999999998,42.37072,102.13279999999999,208.82335999999998,292.74124800000004
sub6,10.274400000000002,23.37248,49.361599999999996,84.496,129.355552
lte,10.427519999999998,25.08632,52.1248,93.67967999999999,153.73676800000004
