rat,thput_10,thput_25,thput_50,thput_75,thput_90
mw,2.61168,16.17556,71.04808,167.80056,278.402304
sub6,5.681439999999999,16.59472,39.79936,75.29343999999999,115.872544
lte,6.20752,15.486559999999999,36.68928,75.55503999999999,124.84432
