%% LaTeX2e file `data.csv'
%% generated by the `filecontents' environment
%% from source `box_avail' on 2022/01/29.
%%
0 0.067681521 0.132690193 0.22447092 0.687819857
0 0 0.04704876 0.071872227 0.31211857
0 0.131757807 0.222744057 0.275002059 0.443914081
0.212806026 0.508079026 0.58753078 0.706921305 0.952930728
0 0.097639069 0.132107898 0.162732363 0.80114177
0 0.083063305 0.127272727 0.335196244 0.777299413
0.059329321 0.159010601 0.235387674 0.278579356 0.436951754
0 0.147084978 0.261829653 0.438872561 0.813522013
0 0.096883853 0.14213198 0.191348974 0.661691542
0.001713502 0.438118183 0.58408335 0.68190722 0.78778135
0 0.194670733 0.35992617 0.539835608 0.768226333
0 0.425861785 0.497391304 0.70420683 0.944444444
0 0.024429737 0.07260274 0.137092485 0.949044586
