region,ue_type,grid_type,rat,mw_ratio,sub6_ratio,no5g_ratio,E1,E2,E3,E4
A-R1,Pixel5,all,5gm,25.245239469128677,15.387574533564147,59.36718599730717,55.48355742750688,21.739834764296127,10.489227280090718,12.287380528106272
A-R1,Pixel5,all,5gs,25.245239469128677,15.387574533564147,59.36718599730717,76.53491009233761,11.50170095577515,3.9121982828446464,8.051190669042596
A-R2,Pixel5,all,5gm,18.24366110080396,15.625644197072768,66.13069470212326,69.45137157107231,18.453865336658353,3.7094763092269325,8.3852867830424
A-R2,Pixel5,all,5gs,18.24366110080396,15.625644197072768,66.13069470212326,77.7431421446384,14.120947630922693,2.150872817955112,5.985037406483807
A-R3,Pixel5,all,5gm,4.074074074074074,42.36236236236236,53.56356356356356,70.31396000747525,27.705101850121473,0.45785834423472244,1.5230797981685695
A-R3,Pixel5,all,5gs,4.074074074074074,42.36236236236236,53.56356356356356,42.235096243692766,32.71351149317884,4.232853672210802,20.81853859091759
A-R4,Pixel5,all,5gm,0.0,58.344882201544245,41.65511779845575,100.0,0.0,0.0,0.0
A-R4,Pixel5,all,5gs,0.0,58.344882201544245,41.65511779845575,74.90494296577947,10.931558935361217,3.897338403041825,10.266159695817489
A-R5,Pixel5,all,5gm,5.739549839228296,39.37299035369775,54.88745980707396,63.50322202694786,33.3626244874048,0.4100761570005858,2.724077328646757
A-R5,Pixel5,all,5gs,5.739549839228296,39.37299035369775,54.88745980707396,47.21734036321031,28.353837141183362,3.5735207967193907,20.85530169888694
V-R6,Pixel5,all,5gm,14.206273351290294,32.41810756799027,53.37561908071944,65.24499430245808,26.76216832166694,3.4999186065440338,4.492918769330934
V-R6,Pixel5,all,5gs,14.206273351290294,32.41810756799027,53.37561908071944,82.40273482012046,9.311411362526453,0.50463942699007,7.7812143903630115
V-R7,Pixel5,all,5gm,5.953134895503483,46.61177960734642,47.43508549715009,68.55807743658211,28.83845126835781,1.9359145527369825,0.6675567423230944
V-R7,Pixel5,all,5gs,5.953134895503483,46.61177960734642,47.43508549715009,91.1214953271028,5.27369826435247,0.26702269692923897,3.337783711615483
V-R8,Pixel5,all,5gm,7.330415754923414,40.0437636761488,52.62582056892779,60.91476091476091,36.38253638253639,1.6632016632016633,1.039501039501034
V-R8,Pixel5,all,5gs,7.330415754923414,40.0437636761488,52.62582056892779,81.4968814968815,15.592515592515593,1.2474012474012475,1.6632016632016522
V-R9,Pixel5,all,5gm,19.983011255043532,26.268846888936082,53.74814185602038,36.50730936388779,49.90122481232714,8.534176214934808,5.057289608850257
V-R9,Pixel5,all,5gs,19.983011255043532,26.268846888936082,53.74814185602038,57.05254839984196,23.350454365863296,2.2125642038719873,17.384433030422752
V-R10,Pixel5,all,5gm,10.27117830573554,49.2200623950084,40.508759299256056,62.0260663507109,28.672985781990523,6.220379146919431,3.080568720379151
V-R10,Pixel5,all,5gs,10.27117830573554,49.2200623950084,40.508759299256056,34.77488151658768,16.23222748815166,0.6516587677725119,48.34123222748815
V-R11,Pixel5,all,5gm,7.314725697786333,57.84408084696824,34.84119345524543,53.86740331491713,37.38489871086556,7.18232044198895,1.5653775322283514
V-R11,Pixel5,all,5gs,7.314725697786333,57.84408084696824,34.84119345524543,70.07366482504605,11.694290976058932,0.5524861878453038,17.67955801104972
T-R12,Pixel5,all,5gm,0.0,66.07892527287993,33.921074727120065,100.0,0.0,0.0,0.0
T-R12,Pixel5,all,5gs,0.0,66.07892527287993,33.921074727120065,95.17326732673267,0.49504950495049505,0.0,4.331683168316836
T-R13,Pixel5,all,5gm,0.0,38.20803295571576,61.79196704428425,100.0,0.0,0.0,0.0
T-R13,Pixel5,all,5gs,0.0,38.20803295571576,61.79196704428425,71.16666666666667,28.499999999999996,0.33333333333333337,1.1102230246251565e-14
