x,region,rat,e1,e2,e3,e4
0,A-R1,5gm,55.48355743,21.73983476,10.48922728,12.28738053
0.1,A-R2,5gm,69.45137157,18.45386534,3.709476309,8.385286783
0.2,A-R3,5gm,70.31396001,27.70510185,0.457858344,1.523079798
0.4,A-R5,5gm,63.50322203,33.36262449,0.410076157,2.724077329
0.6,V-R6,5gm,65.2449943,26.76216832,3.499918607,4.492918769
0.7,V-R7,5gm,68.55807744,28.83845127,1.935914553,0.667556742
0.8,V-R8,5gm,60.91476091,36.38253638,1.663201663,1.03950104
0.9,V-R9,5gm,36.50730936,49.90122481,8.534176215,5.057289609
1,V-R10,5gm,62.02606635,28.67298578,6.220379147,3.08056872
1.1,V-R11,5gm,53.86740331,37.38489871,7.182320442,1.565377532
1.3,T-R12,5gs,95.17326733,0.495049505,0,4.331683168
1.4,T-R13,5gs,71.16666667,28.5,0.333333333,1.11E-14
