grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
41.894,-87.6225,84,17,67
41.894,-87.622,39,6,33
41.894,-87.6215,45,9,36
41.894,-87.621,100,14,86
41.894,-87.6205,103,10,93
41.894,-87.62,179,14,165
41.8945,-87.632,41,3,38
41.8945,-87.6315,40,3,37
41.8945,-87.631,79,6,73
41.8945,-87.6305,71,4,67
41.8945,-87.63,64,5,59
41.8945,-87.6295,92,7,85
41.8945,-87.629,65,5,60
41.8945,-87.6285,72,4,68
41.8945,-87.628,113,7,106
41.8945,-87.6275,97,7,90
41.8945,-87.627,89,8,81
41.8945,-87.6265,175,15,160
41.8945,-87.626,66,13,53
41.8945,-87.6255,94,18,76
41.8945,-87.625,126,19,107
41.8945,-87.6245,118,10,108
41.8945,-87.624,204,20,184
41.8945,-87.6235,146,10,136
41.8945,-87.623,108,9,99
41.8945,-87.6225,116,8,108
41.8945,-87.622,115,8,107
41.8945,-87.6215,109,4,105
41.8945,-87.621,104,9,95
41.8945,-87.6205,71,10,61
41.8945,-87.62,159,16,143
41.895,-87.632,12,1,11
41.895,-87.6315,11,2,9
41.895,-87.631,53,9,44
41.895,-87.6305,20,3,17
41.895,-87.6295,80,5,75
41.895,-87.629,33,3,30
41.895,-87.6285,31,3,28
41.895,-87.628,83,4,79
41.895,-87.6275,34,3,31
41.895,-87.627,7,2,5
41.895,-87.6265,98,12,86
41.895,-87.626,21,3,18
41.895,-87.6255,63,13,50
41.895,-87.625,71,13,58
41.895,-87.6245,55,6,49
41.895,-87.624,212,19,193
41.895,-87.6235,101,14,87
41.895,-87.623,70,8,62
41.895,-87.6225,89,8,81
41.895,-87.622,62,4,58
41.895,-87.6215,73,6,67
41.895,-87.621,94,14,80
41.895,-87.6205,78,14,64
41.895,-87.62,124,14,110
41.8955,-87.632,38,6,32
41.8955,-87.6315,57,5,52
41.8955,-87.631,75,9,66
41.8955,-87.6305,58,7,51
41.8955,-87.63,74,5,69
41.8955,-87.6295,98,6,92
41.8955,-87.629,62,5,57
41.8955,-87.6285,69,4,65
41.8955,-87.628,112,6,106
41.8955,-87.6275,67,7,60
41.8955,-87.627,67,6,61
41.8955,-87.6265,109,13,96
41.8955,-87.626,61,8,53
41.8955,-87.6255,128,15,113
41.8955,-87.625,104,9,95
41.8955,-87.6245,118,10,108
41.8955,-87.624,206,20,186
41.8955,-87.6235,99,9,90
41.8955,-87.623,86,9,77
41.8955,-87.6225,138,14,124
41.8955,-87.622,131,8,123
41.8955,-87.6215,112,9,103
41.8955,-87.621,131,10,121
41.8955,-87.6205,133,10,123
41.8955,-87.62,119,9,110
41.896,-87.631,61,7,54
41.896,-87.63,14,6,8
41.896,-87.6295,87,13,74
41.896,-87.629,16,5,11
41.896,-87.6285,7,2,5
41.896,-87.628,69,7,62
41.896,-87.6275,8,3,5
41.896,-87.627,12,5,7
41.896,-87.6265,74,9,65
41.896,-87.626,28,6,22
41.896,-87.6255,119,6,113
41.896,-87.625,99,8,91
41.896,-87.6245,40,6,34
41.896,-87.624,237,19,218
41.896,-87.6235,24,5,19
41.896,-87.6225,14,4,10
41.896,-87.622,23,3,20
41.896,-87.6215,11,2,9
41.896,-87.6205,44,7,37
41.896,-87.62,75,9,66
41.8965,-87.632,59,6,53
41.8965,-87.6315,70,6,64
41.8965,-87.631,126,10,116
41.8965,-87.6305,98,8,90
41.8965,-87.63,90,9,81
41.8965,-87.6295,107,14,93
41.8965,-87.629,88,9,79
41.8965,-87.6285,94,7,87
41.8965,-87.628,174,9,165
41.8965,-87.6275,55,7,48
41.8965,-87.627,68,7,61
41.8965,-87.6265,131,7,124
41.8965,-87.626,122,10,112
41.8965,-87.6255,170,11,159
41.8965,-87.625,181,11,170
41.8965,-87.6245,188,15,173
41.8965,-87.624,220,17,203
41.8965,-87.6235,147,12,135
41.8965,-87.623,85,8,77
41.8965,-87.6225,84,11,73
41.8965,-87.622,112,13,99
41.8965,-87.6215,66,4,62
41.8965,-87.621,70,4,66
41.8965,-87.6205,87,8,79
41.8965,-87.62,80,13,67
41.897,-87.632,10,2,8
41.897,-87.6315,8,5,3
41.897,-87.631,28,10,18
41.897,-87.6295,42,8,34
41.897,-87.628,144,7,137
41.897,-87.6275,51,5,46
41.897,-87.627,53,5,48
41.897,-87.6265,70,6,64
41.897,-87.626,19,1,18
41.897,-87.6255,26,3,23
41.897,-87.624,106,11,95
41.897,-87.6235,25,0,25
41.897,-87.623,26,0,26
41.897,-87.6225,24,0,24
41.897,-87.622,30,0,30
41.897,-87.6215,41,3,38
41.897,-87.621,16,3,13
41.897,-87.6205,23,3,20
41.898,-87.631,45,9,36
41.898,-87.6305,25,3,22
41.898,-87.63,34,4,30
