grid_lat,grid_lon,cell_num,nr_cell_num,lte_cell_num
41.8745,-87.632,11,2,9
41.8745,-87.6315,5,1,4
41.8745,-87.631,10,3,7
41.8745,-87.6305,45,9,36
41.8745,-87.63,29,6,23
41.8745,-87.6295,30,5,25
41.8745,-87.629,35,4,31
41.8745,-87.6285,30,4,26
41.8745,-87.628,33,4,29
41.8745,-87.6275,46,8,38
41.8745,-87.626,21,8,13
41.8745,-87.6255,8,5,3
41.8745,-87.624,58,6,52
41.8745,-87.6235,31,5,26
41.875,-87.632,6,2,4
41.875,-87.6315,11,4,7
41.875,-87.6305,32,2,30
41.875,-87.63,17,2,15
41.875,-87.6295,8,2,6
41.875,-87.629,32,3,29
41.875,-87.6285,21,3,18
41.875,-87.6275,24,4,20
41.875,-87.627,10,2,8
41.875,-87.6265,7,2,5
41.875,-87.626,15,6,9
41.875,-87.6255,8,6,2
41.875,-87.624,64,5,59
41.875,-87.6235,27,5,22
41.875,-87.623,46,6,40
41.8755,-87.632,19,5,14
41.8755,-87.6315,37,7,30
41.8755,-87.631,22,4,18
41.8755,-87.6305,50,7,43
41.8755,-87.63,24,5,19
41.8755,-87.6295,46,9,37
41.8755,-87.629,48,8,40
41.8755,-87.6285,26,6,20
41.8755,-87.628,19,5,14
41.8755,-87.6275,86,11,75
41.8755,-87.627,83,10,73
41.8755,-87.6265,63,9,54
41.8755,-87.626,77,12,65
41.8755,-87.6255,57,14,43
41.8755,-87.625,63,11,52
41.8755,-87.6245,67,8,59
41.8755,-87.624,101,10,91
41.8755,-87.6235,51,5,46
41.8755,-87.623,90,8,82
41.876,-87.631,20,0,20
41.876,-87.6305,59,8,51
41.876,-87.63,14,5,9
41.876,-87.6295,21,5,16
41.876,-87.629,28,6,22
41.876,-87.6285,8,2,6
41.876,-87.6275,60,11,49
41.876,-87.627,29,9,20
41.876,-87.626,24,9,15
41.876,-87.6255,20,7,13
41.876,-87.624,50,6,44
41.876,-87.6235,41,4,37
41.876,-87.623,57,6,51
41.8765,-87.632,18,1,17
41.8765,-87.6315,23,2,21
41.8765,-87.631,16,1,15
41.8765,-87.6305,65,7,58
41.8765,-87.63,34,4,30
41.8765,-87.6295,36,8,28
41.8765,-87.629,78,9,69
41.8765,-87.6285,75,8,67
41.8765,-87.628,55,8,47
41.8765,-87.6275,113,13,100
41.8765,-87.627,105,14,91
41.8765,-87.6265,70,11,59
41.8765,-87.626,65,12,53
41.8765,-87.6255,63,13,50
41.8765,-87.625,30,3,27
41.8765,-87.6245,29,4,25
41.8765,-87.624,70,7,63
41.8765,-87.6235,71,6,65
41.877,-87.6305,47,4,43
41.877,-87.63,17,2,15
41.877,-87.6295,25,5,20
41.877,-87.629,58,9,49
41.877,-87.6285,13,4,9
41.877,-87.628,23,1,22
41.877,-87.6275,51,7,44
41.877,-87.627,43,13,30
41.877,-87.6265,29,8,21
41.877,-87.626,61,13,48
41.877,-87.6255,75,12,63
41.877,-87.625,24,3,21
41.877,-87.6245,43,4,39
41.877,-87.624,71,6,65
41.8775,-87.6305,48,5,43
41.8775,-87.63,14,3,11
41.8775,-87.6295,15,3,12
41.8775,-87.629,72,10,62
41.8775,-87.6285,47,2,45
41.8775,-87.628,5,2,3
41.8775,-87.6275,54,6,48
41.8775,-87.627,18,5,13
41.8775,-87.6265,8,3,5
41.8775,-87.626,27,5,22
41.8775,-87.6255,31,8,23
41.8775,-87.625,11,3,8
41.8775,-87.624,63,6,57
41.878,-87.6305,151,17,134
41.878,-87.63,105,15,90
41.878,-87.6295,114,12,102
41.878,-87.629,122,12,110
41.878,-87.6285,75,7,68
41.878,-87.628,70,9,61
