rat,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90
mw,0,0,0,0,0
sub6,-107.117,-101.234,-94.562,-86.875,-80.727
lte,-101.8125,-96.75,-90.625,-84.125,-77.875
