rat,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90
mw,-125.43,-118.258,-108.281,-99.328,-93.195
sub6,-104.562,-98.188,-88.297,-78.586,-70.883
lte,-114.5,-104.3125,-93.0,-84.0,-76.125
