pcell_channel,total_sample,n41,n71,na
66736,417763,0.8298485026199065,0.06458925275814277,0.10556224462195073
677,124285,0.4606750613509273,0.0,0.5393249386490727
67011,42767,0.8144597470011925,0.025159585661842076,0.1603806673369654
39874,1486,0.0,0.0,1.0
40072,1001,0.0,0.0,1.0
66811,200846,0.18254782270993697,0.11546657638190454,0.7019856009081585
1123,24558,0.2876455737437902,0.12965225181203682,0.5827021744441729
