grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-87.681,41.88,1401,0,0,990,0.706638116,990,0.706638116,411,0.293361884,33,0,0,27,0.818181818,27,0.818181818,6,0.181818182
-87.681,41.8805,407,0,0,278,0.683046683,278,0.683046683,129,0.316953317,13,0,0,10,0.769230769,10,0.769230769,3,0.230769231
-87.681,41.881,5380,0,0,4809,0.893866171,4809,0.893866171,571,0.106133829,109,0,0,76,0.697247706,76,0.697247706,33,0.302752294
-87.681,41.8815,396,0,0,294,0.742424242,294,0.742424242,102,0.257575758,18,0,0,11,0.611111111,11,0.611111111,7,0.388888889
-87.681,41.882,1090,0,0,1048,0.96146789,1048,0.96146789,42,0.03853211,25,0,0,22,0.88,22,0.88,3,0.12
-87.681,41.8825,124,0,0,124,1,124,1,0,0,2,0,0,2,1,2,1,0,0
-87.681,41.883,1212,0,0,1028,0.848184818,1028,0.848184818,184,0.151815182,16,0,0,13,0.8125,13,0.8125,3,0.1875
-87.681,41.8845,125,0,0,125,1,125,1,0,0,2,0,0,2,1,2,1,0,0
-87.6805,41.8775,455,0,0,376,0.826373626,376,0.826373626,79,0.173626374,12,0,0,9,0.75,9,0.75,3,0.25
-87.6805,41.8785,23409,0,0,23125,0.987867914,23125,0.987867914,284,0.012132086,82,0,0,58,0.707317073,58,0.707317073,24,0.292682927
-87.6805,41.881,1833,0,0,1562,0.852154937,1562,0.852154937,271,0.147845063,45,0,0,37,0.822222222,37,0.822222222,8,0.177777778
-87.6805,41.882,693,0,0,662,0.955266955,662,0.955266955,31,0.044733045,16,0,0,15,0.9375,15,0.9375,1,0.0625
-87.6805,41.883,699,0,0,619,0.885550787,619,0.885550787,80,0.114449213,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.6805,41.8845,78,0,0,78,1,78,1,0,0,2,0,0,2,1,2,1,0,0
-87.68,41.8775,426,0,0,354,0.830985915,354,0.830985915,72,0.169014085,10,0,0,8,0.8,8,0.8,2,0.2
-87.68,41.8785,2982,0,0,2513,0.842723005,2513,0.842723005,469,0.157276995,123,0,0,81,0.658536585,81,0.658536585,42,0.341463415
-87.68,41.881,1762,0,0,1458,0.827468785,1458,0.827468785,304,0.172531215,79,0,0,61,0.772151899,61,0.772151899,18,0.227848101
-87.68,41.882,670,0,0,642,0.958208955,642,0.958208955,28,0.041791045,16,0,0,15,0.9375,15,0.9375,1,0.0625
-87.68,41.883,683,0,0,603,0.882869693,603,0.882869693,80,0.117130307,14,0,0,12,0.857142857,12,0.857142857,2,0.142857143
-87.6795,41.8775,454,0,0,380,0.837004405,380,0.837004405,74,0.162995595,10,0,0,8,0.8,8,0.8,2,0.2
