grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_ratio,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.1665,39.7755,4874,0,0,2695,0.552933935,2695,0.552933935,2179,0.447066065,62,0,0,27,0.435483871,27,0.435483871,35,0.564516129
-86.166,39.7615,4507,109,0.024184602,823,0.182604837,932,0.206789439,3575,0.793210561,60,3,0.05,13,0.216666667,16,0.266666667,44,0.733333333
-86.166,39.7655,759,0,0,44,0.057971014,44,0.057971014,715,0.942028986,14,0,0,1,0.071428571,1,0.071428571,13,0.928571429
-86.166,39.767,1504,1213,0.806515957,0,0,1213,0.806515957,291,0.193484043,35,21,0.6,0,0,21,0.6,14,0.4
-86.166,39.77,1355,820,0.605166052,0,0,820,0.605166052,535,0.394833948,78,36,0.461538462,0,0,36,0.461538462,42,0.538461538
-86.166,39.771,520,370,0.711538462,0,0,370,0.711538462,150,0.288461538,16,8,0.5,0,0,8,0.5,8,0.5
-86.1655,39.761,18012,7464,0.414390406,579,0.032145237,8043,0.446535643,9969,0.553464357,242,100,0.41322314,17,0.070247934,117,0.483471074,125,0.516528926
-86.1655,39.7615,8592,721,0.08391527,1316,0.153165736,2037,0.237081006,6555,0.762918994,210,27,0.128571429,28,0.133333333,55,0.261904762,155,0.738095238
-86.1655,39.762,743,1,0.001345895,205,0.275908479,206,0.277254374,537,0.722745626,21,1,0.047619048,6,0.285714286,7,0.333333333,14,0.666666667
-86.1655,39.7625,761,0,0,200,0.262812089,200,0.262812089,561,0.737187911,27,0,0,7,0.259259259,7,0.259259259,20,0.740740741
-86.1655,39.7655,1055,0,0,55,0.052132701,55,0.052132701,1000,0.947867299,30,0,0,1,0.033333333,1,0.033333333,29,0.966666667
-86.1655,39.767,972,667,0.686213992,0,0,667,0.686213992,305,0.313786008,26,14,0.538461538,0,0,14,0.538461538,12,0.461538462
-86.1655,39.77,1215,101,0.083127572,0,0,101,0.083127572,1114,0.916872428,41,8,0.195121951,0,0,8,0.195121951,33,0.804878049
