grid_lat,grid_lon,coverage_type,total_rss_num,mw_rss_num,sub6_rss_num,lte_rss_num
41.881,-87.673,T011,9127,0,1833,7294
41.881,-87.6725,T011,16189,0,4503,11686
41.881,-87.672,T011,16436,0,4562,11874
41.881,-87.6715,T011,38530,0,10788,27742
41.881,-87.671,T011,102606,0,38199,64407
41.881,-87.6705,T011,1446,0,412,1034
41.881,-87.67,T011,1753,0,393,1360
41.881,-87.6695,T011,2551,0,589,1962
41.881,-87.669,T011,8053,0,1922,6131
41.881,-87.6685,T011,4457,0,811,3646
41.881,-87.668,T011,2301,0,444,1857
41.881,-87.6675,T011,2472,0,384,2088
41.881,-87.667,T011,10411,0,1204,9207
41.881,-87.6665,T011,21163,0,1924,19239
41.8815,-87.6835,T011,486,0,133,353
41.8815,-87.6815,T011,3538,0,1180,2358
41.8815,-87.681,T011,119,0,16,103
41.8815,-87.6765,T011,17533,0,5748,11785
41.8815,-87.674,T011,8,0,5,3
41.8815,-87.6735,T011,2,0,2,0
41.8815,-87.6725,T011,124,0,67,57
41.8815,-87.672,T011,145,0,105,40
41.8815,-87.6715,T011,14097,0,4588,9509
41.8815,-87.671,T011,49,0,22,27
41.8815,-87.6705,T011,34,0,22,12
41.8815,-87.67,T011,109,0,49,60
41.8815,-87.6695,T011,249,0,164,85
41.8815,-87.669,T011,4043,0,1805,2238
41.8815,-87.6685,T011,85,0,27,58
41.8815,-87.668,T011,96,0,29,67
41.8815,-87.6675,T011,129,0,23,106
41.8815,-87.667,T011,363,0,82,281
41.8815,-87.6665,T011,7513,0,1703,5810
41.882,-87.6835,T011,1042,0,270,772
41.882,-87.683,T011,147,0,53,94
41.882,-87.6825,T011,162,0,56,106
41.882,-87.682,T011,179,0,56,123
41.882,-87.6815,T011,8370,0,2972,5398
41.882,-87.681,T011,286,0,60,226
41.882,-87.6805,T011,159,0,44,115
41.882,-87.68,T011,198,0,55,143
41.882,-87.6795,T011,208,0,69,139
41.882,-87.679,T011,1083,0,284,799
41.882,-87.6785,T011,652,0,220,432
41.882,-87.678,T011,614,0,214,400
41.882,-87.6775,T011,514,0,180,334
41.882,-87.677,T011,2422,0,723,1699
41.882,-87.6765,T011,24730,0,6285,18445
41.882,-87.676,T011,13282,0,2832,10450
41.882,-87.6755,T011,1135,0,242,893
41.882,-87.675,T011,885,0,217,668
41.882,-87.6745,T011,925,0,219,706
41.882,-87.674,T011,1017,0,223,794
41.882,-87.6735,T011,881,0,194,687
41.882,-87.673,T011,1061,0,325,736
41.882,-87.6725,T011,1025,0,413,612
41.882,-87.672,T011,1777,0,703,1074
41.882,-87.6715,T011,34225,0,8947,25278
41.882,-87.671,T011,429,0,156,273
41.882,-87.6705,T011,492,0,187,305
41.882,-87.67,T011,564,0,232,332
41.882,-87.6695,T011,662,0,378,284
41.882,-87.669,T011,3675,0,1348,2327
41.882,-87.6685,T011,481,0,143,338
41.882,-87.668,T011,345,0,116,229
41.882,-87.6675,T011,387,0,115,272
41.882,-87.667,T011,1410,0,304,1106
41.882,-87.6665,T011,4740,0,1150,3590
41.8825,-87.6835,T011,319,0,108,211
41.8825,-87.6815,T011,23261,0,11328,11933
41.8825,-87.681,T011,1279,0,649,630
41.8825,-87.679,T011,465,0,134,331
41.8825,-87.6765,T011,9325,0,2565,6760
41.8825,-87.6715,T011,8563,0,2575,5988
41.8825,-87.669,T011,1162,0,417,745
41.8825,-87.6665,T011,4848,0,841,4007
41.883,-87.6835,T011,809,0,288,521
41.883,-87.683,T011,314,0,74,240
41.883,-87.6825,T011,200,0,56,144
41.883,-87.682,T011,210,0,67,143
41.883,-87.6815,T011,9097,0,3073,6024
41.883,-87.681,T011,1518,0,517,1001
41.883,-87.6805,T011,912,0,282,630
41.883,-87.68,T011,872,0,269,603
41.883,-87.6795,T011,939,0,230,709
41.883,-87.679,T011,1227,0,389,838
41.883,-87.6785,T011,3374,0,1138,2236
41.883,-87.678,T011,1040,0,346,694
41.883,-87.6775,T011,701,0,279,422
41.883,-87.677,T011,824,0,286,538
41.883,-87.6765,T011,23236,0,6525,16711
41.883,-87.676,T011,12601,0,2263,10338
41.883,-87.6755,T011,5769,0,664,5105
41.883,-87.675,T011,5537,0,732,4805
41.883,-87.6745,T011,5819,0,741,5078
41.883,-87.674,T011,6335,0,969,5366
41.883,-87.6735,T011,5929,0,979,4950
41.883,-87.673,T011,6677,0,1199,5478
41.883,-87.6725,T011,7033,0,2103,4930
41.883,-87.672,T011,8152,0,2645,5507
41.883,-87.6715,T011,59945,0,19857,40088
41.883,-87.671,T011,4455,0,1386,3069
41.883,-87.6705,T011,4570,0,1529,3041
41.883,-87.67,T011,6504,0,2112,4392
41.883,-87.6695,T011,3924,0,1396,2528
41.883,-87.669,T011,12736,0,3531,9205
41.883,-87.6685,T011,5891,0,1352,4539
41.883,-87.668,T011,4128,0,781,3347
41.883,-87.6675,T011,4198,0,528,3670
41.883,-87.667,T011,8639,0,1401,7238
41.883,-87.6665,T011,30601,0,8024,22577
41.8835,-87.6835,T011,23,0,4,19
41.8835,-87.6815,T011,4367,0,1387,2980
41.8835,-87.6765,T011,5900,0,2070,3830
41.8835,-87.6715,T011,10262,0,3855,6407
41.8835,-87.6695,T011,16,0,8,8
41.8835,-87.669,T011,1817,0,625,1192
41.8835,-87.667,T011,4424,0,372,4052
41.8835,-87.6665,T011,2037,0,460,1577
41.884,-87.6815,T011,1170,0,335,835
41.884,-87.679,T011,34,0,8,26
41.884,-87.6785,T011,75,0,20,55
41.884,-87.6765,T011,4255,0,1364,2891
41.884,-87.6715,T011,3467,0,1483,1984
41.884,-87.6695,T011,134,0,66,68
41.884,-87.669,T011,2361,0,609,1752
41.884,-87.667,T011,3810,0,510,3300
41.884,-87.6665,T011,1900,0,413,1487
41.8845,-87.6815,T011,1335,0,348,987
41.8845,-87.681,T011,538,0,176,362
41.8845,-87.6805,T011,325,0,74,251
41.8845,-87.68,T011,188,0,63,125
41.8845,-87.6795,T011,144,0,37,107
41.8845,-87.679,T011,115,0,39,76
41.8845,-87.6785,T011,49,0,12,37
41.8845,-87.678,T011,178,0,47,131
41.8845,-87.6775,T011,290,0,88,202
41.8845,-87.677,T011,568,0,140,428
41.8845,-87.6765,T011,7071,0,1690,5381
41.8845,-87.676,T011,1589,0,266,1323
41.8845,-87.6755,T011,940,0,156,784
41.8845,-87.675,T011,344,0,54,290
41.8845,-87.6745,T011,51,0,8,43
41.8845,-87.6715,T011,4350,0,1631,2719
41.8845,-87.6695,T011,78,0,29,49
41.8845,-87.669,T011,3218,0,878,2340
41.8845,-87.667,T011,2915,0,572,2343
41.8845,-87.6665,T011,3186,0,545,2641
41.885,-87.6815,T011,533,0,128,405
41.885,-87.6765,T011,1599,0,418,1181
41.885,-87.676,T011,211,0,58,153
41.885,-87.6755,T011,774,0,166,608
41.885,-87.675,T011,1103,0,220,883
41.885,-87.6745,T011,1414,0,314,1100
41.885,-87.674,T011,1645,0,493,1152
41.885,-87.6735,T011,1163,0,281,882
41.885,-87.673,T011,1453,0,377,1076
41.885,-87.6725,T011,2186,0,653,1533
41.885,-87.672,T011,5927,0,1545,4382
41.885,-87.6715,T011,6009,0,1990,4019
41.885,-87.671,T011,2589,0,744,1845
41.885,-87.6705,T011,3827,0,1072,2755
41.885,-87.67,T011,3948,0,932,3016
41.885,-87.6695,T011,7837,0,1867,5970
41.885,-87.669,T011,8958,0,3098,5860
41.885,-87.6685,T011,3835,0,656,3179
41.885,-87.668,T011,4165,0,726,3439
41.885,-87.6675,T011,4882,0,1680,3202
41.885,-87.667,T011,22085,0,7082,15003
41.885,-87.6665,T011,2004,0,374,1630
41.8855,-87.6815,T011,581,0,120,461
41.8855,-87.6765,T011,13993,0,2936,11057
41.8855,-87.674,T011,231,0,134,97
41.8855,-87.6735,T011,48,0,30,18
41.8855,-87.673,T011,38,0,18,20
41.8855,-87.6725,T011,23,0,12,11
41.8855,-87.6715,T011,1270,0,468,802
41.8855,-87.669,T011,2477,0,847,1630
41.8855,-87.667,T011,1925,0,717,1208
41.8855,-87.6665,T011,820,0,146,674
41.886,-87.6815,T011,669,0,159,510
41.886,-87.6765,T011,1608,0,332,1276
41.886,-87.674,T011,60,0,32,28
41.886,-87.6725,T011,22,0,16,6
41.886,-87.672,T011,129,0,75,54
41.886,-87.6715,T011,1447,0,595,852
41.886,-87.671,T011,251,0,99,152
41.886,-87.6705,T011,238,0,113,125
41.886,-87.67,T011,269,0,117,152
41.886,-87.6695,T011,1005,0,481,524
41.886,-87.669,T011,2540,0,722,1818
41.886,-87.667,T011,360,0,120,240
41.886,-87.6665,T011,781,0,175,606
