grid_lat,grid_lon,thput_sample_num,mw_thput_sample_num,mw_thput_0,mw_thput_10,mw_thput_25,mw_thput_50,mw_thput_75,mw_thput_90,mw_thput_100,sub6_thput_sample_num,sub6_thput_0,sub6_thput_10,sub6_thput_25,sub6_thput_50,sub6_thput_75,sub6_thput_90,sub6_thput_100,lte_thput_sample_num,lte_thput_0,lte_thput_10,lte_thput_25,lte_thput_50,lte_thput_75,lte_thput_90,lte_thput_100,5g_thput_sample_num,5g_thput_0,5g_thput_10,5g_thput_25,5g_thput_50,5g_thput_75,5g_thput_90,5g_thput_100,all_thput_sample_num,all_thput_0,all_thput_10,all_thput_25,all_thput_50,all_thput_75,all_thput_90,all_thput_100,mw_thput_avg,mw_thput_std,sub6_thput_avg,sub6_thput_std,lte_thput_avg,lte_thput_std,5g_thput_avg,5g_thput_std,all_thput_avg,all_thput_std
-87.632,41.8745,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.875,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8755,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8765,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.878,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8805,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.881,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8815,120,113,19.06112,131.008896,164.57536,199.03808,340.44736,510.5948159999999,842.81024,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,113,19.06112,131.008896,164.57536,199.03808,340.44736,510.5948159999999,842.81024,113,19.06112,131.008896,164.57536,199.03808,340.44736,510.5948159999999,842.81024,271.7553054867256,182.86227898470676,None,None,None,None,271.7553054867256,182.86227898470676,271.7553054867256,182.86227898470676
-87.632,41.882,40,37,43.17567999999999,67.51270399999999,158.92863999999997,183.92703999999998,219.99488,276.737536,296.6208,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,37,43.17567999999999,67.51270399999999,158.92863999999997,183.92703999999998,219.99488,276.737536,296.6208,37,43.17567999999999,67.51270399999999,158.92863999999997,183.92703999999998,219.99488,276.737536,296.6208,181.24094270270268,68.10809117242437,None,None,None,None,181.24094270270268,68.10809117242437,181.24094270270268,68.10809117242437
-87.632,41.883,35,34,109.28511999999999,140.42828799999998,149.84351999999998,161.93504,189.0832,214.87776,273.92575999999997,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,34,109.28511999999999,140.42828799999998,149.84351999999998,161.93504,189.0832,214.87776,273.92575999999997,34,109.28511999999999,140.42828799999998,149.84351999999998,161.93504,189.0832,214.87776,273.92575999999997,172.89567999999997,33.647458937150766,None,None,None,None,172.89567999999997,33.647458937150766,172.89567999999997,33.647458937150766
-87.632,41.8855,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
