grid_lat,grid_lon,thput_sample_num,mw_thput_sample_num,mw_thput_0,mw_thput_10,mw_thput_25,mw_thput_50,mw_thput_75,mw_thput_90,mw_thput_100,sub6_thput_sample_num,sub6_thput_0,sub6_thput_10,sub6_thput_25,sub6_thput_50,sub6_thput_75,sub6_thput_90,sub6_thput_100,lte_thput_sample_num,lte_thput_0,lte_thput_10,lte_thput_25,lte_thput_50,lte_thput_75,lte_thput_90,lte_thput_100,5g_thput_sample_num,5g_thput_0,5g_thput_10,5g_thput_25,5g_thput_50,5g_thput_75,5g_thput_90,5g_thput_100,all_thput_sample_num,all_thput_0,all_thput_10,all_thput_25,all_thput_50,all_thput_75,all_thput_90,all_thput_100,mw_thput_avg,mw_thput_std,sub6_thput_avg,sub6_thput_std,lte_thput_avg,lte_thput_std,5g_thput_avg,5g_thput_std,all_thput_avg,all_thput_std
-87.632,41.889,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.8895,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.89,54,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,51,1.14336,2.05152,3.76416,8.67168,15.572479999999999,49.241279999999996,77.52576,0,None,None,None,None,None,None,None,51,1.14336,2.05152,3.76416,8.67168,15.572479999999999,49.241279999999996,77.52576,None,None,None,None,15.809254901960784,19.770979232228765,None,None,15.809254901960784,19.770979232228765
-87.632,41.8915,2437,592,0.11488,71.84003200000001,101.13152,155.51952,234.60159999999996,295.84684799999997,562.14848,0,None,None,None,None,None,None,None,1563,2.1664,51.535296,88.84703999999999,139.30367999999999,187.12207999999998,228.69670399999995,340.09504,592,0.11488,71.84003200000001,101.13152,155.51952,234.60159999999996,295.84684799999997,562.14848,2155,0.11488,54.445056,92.91456,140.76448,198.01424,254.38656000000006,562.14848,172.88278027027027,96.76942175769156,None,None,140.49878879078693,67.00651625221924,172.88278027027027,96.76942175769156,149.3949943387471,77.70382760691263
-87.632,41.892,1448,392,0.33919999999999995,24.889919999999996,37.3164,128.90688,166.71063999999996,229.34899200000004,338.85952000000003,84,6.9382399999999995,22.003168,34.21776,54.11344,90.33248,104.31577599999999,116.5456,867,0.11488,28.474432,51.22208,81.73344,110.21503999999999,152.34092799999996,255.69088,476,0.33919999999999995,23.1592,36.97239999999999,71.30912,159.11455999999998,205.76703999999998,338.85952000000003,1343,0.11488,24.943552000000004,45.49856,81.04896,130.74288,173.41215999999997,338.85952000000003,111.81673551020407,82.47472151866737,58.97313523809525,30.80581124704753,85.24489061130335,46.47460641582287,102.49139428571429,78.58120345928484,91.35757545793,60.423719112646424
-87.632,41.8925,0,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
-87.632,41.893,1735,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,1564,0.11072,23.048128000000002,56.66991999999999,122.22112,158.42896,194.376,324.97344,0,None,None,None,None,None,None,None,1564,0.11072,23.048128000000002,56.66991999999999,122.22112,158.42896,194.376,324.97344,None,None,None,None,114.06036445012788,65.45595557674572,None,None,114.06036445012788,65.45595557674572
-87.632,41.8935,2492,235,2.30912,112.870848,170.38672,213.51232,271.62768,315.72864,361.06336,0,None,None,None,None,None,None,None,2069,0.11072,58.26048,79.03872,115.77279999999999,166.75072,207.592576,334.96223999999995,235,2.30912,112.870848,170.38672,213.51232,271.62768,315.72864,361.06336,2304,0.11072,59.796415999999994,82.73424,122.94416,179.99704,224.263008,361.06336,216.3212895319149,73.48126992412254,None,None,125.22834930884484,59.71270763794287,216.3212895319149,73.48126992412254,134.51951291666668,67.17656966903127
-87.632,41.894,211,0,None,None,None,None,None,None,None,0,None,None,None,None,None,None,None,197,3.5916799999999998,36.639232,64.07168,90.80959999999999,110.39232,131.11999999999998,194.75647999999998,0,None,None,None,None,None,None,None,197,3.5916799999999998,36.639232,64.07168,90.80959999999999,110.39232,131.11999999999998,194.75647999999998,None,None,None,None,88.11579451776649,37.77090743251951,None,None,88.11579451776649,37.77090743251951
-87.632,41.8945,2177,0,None,None,None,None,None,None,None,451,0.62496,21.50656,32.94688,53.32928,64.55807999999999,85.22368,192.19968,1624,0.10368,9.773888,15.588959999999998,26.197119999999998,46.24288,71.12608,167.79008,451,0.62496,21.50656,32.94688,53.32928,64.55807999999999,85.22368,192.19968,2075,0.10368,10.699264,17.448639999999997,31.56224,55.25664,74.35072,192.19968,None,None,53.12894758314855,27.073224232078044,34.37461467980295,25.737264149458625,53.12894758314855,27.073224232078044,38.45085763855421,27.158291818299876
-87.632,41.8955,354,0,None,None,None,None,None,None,None,148,10.2176,95.740416,129.29471999999998,160.15424,182.25776,210.07423999999997,286.64191999999997,188,37.231359999999995,74.92998399999999,108.16912,155.17983999999998,181.26143999999996,219.807296,336.78463999999997,148,10.2176,95.740416,129.29471999999998,160.15424,182.25776,210.07423999999997,286.64191999999997,336,10.2176,81.40992,117.7872,159.26175999999998,182.12208,214.88543999999996,336.78463999999997,None,None,156.6808637837838,46.49399364167465,151.1572289361702,56.280520019572585,156.6808637837838,46.49399364167465,153.59025857142856,52.268375693395164
