grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_conf_interval_90,thput_conf_interval_90_ratio,thput_sample_needed,total_rtt_sample,rtt_sample,rtt_sample_ratio,rtt_avg,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rtt_conf_interval_90,rtt_conf_interval_90_ratio,rtt_sample_needed
-86.167,39.7655,96,1100,96,176930,96,66586,96,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,47,0.019756200084068937,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,3,66586,96,176930,97,1100,3,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,18,0.007566204287515763,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,3,66836,96,176930,97,1100,3,66586,None,None,None,None,None,None,None,None,LTE+Sub6,2379,11,0.004623791509037411,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,311,1100,311,176930,233,47090,232,47291,231,47489,None,None,None,None,None,None,LTE+Sub6,2379,6,0.0025220680958385876,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,387,1100,311,176930,387,66586,387,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,37,0.015552753257671291,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,389,1100,311,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,34,0.014291719209751997,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,389,66836,311,176930,389,1100,389,66586,None,None,None,None,None,None,None,None,LTE+Sub6,2379,83,0.03488860865910046,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,4,5230,None,None,None,None,None,None,None,None,None,None,None,None,None,None,LTE,2379,41,0.017234131988230348,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,4,66586,96,176930,96,1100,4,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,61,0.02564102564102564,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,4,66836,96,176930,96,1100,4,66586,None,None,None,None,None,None,None,None,LTE+Sub6,2379,114,0.04791929382093316,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,432,66586,96,176930,61,1100,432,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,52,0.02185792349726776,97,52,0.5360824742268041,40.30395692307692,16.557164070217873,0.0,16.889632,33.16328,40.86368,52.14808,60.341567999999995,68.8032,3.777027812758453,0.0937135730858186,45.66761565865753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,432,66836,311,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,2379,147,0.0617906683480454,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,432,66836,96,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,2379,38,0.015973097940311057,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,432,66836,None,None,432,66586,61,1100,432,5230,None,None,None,None,None,None,LTE,2379,4,0.0016813787305590584,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,5,66586,311,176930,96,1100,5,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,19,0.007986548970155528,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,5,66586,96,176930,96,1100,5,66836,None,None,None,None,None,None,None,None,LTE+Sub6,2379,362,0.15216477511559479,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7655,5,66586,None,None,5,66836,96,1100,5,5230,None,None,None,None,None,None,LTE,2379,4,0.0016813787305590584,97,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
