grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_conf_interval_90,thput_conf_interval_90_ratio,thput_sample_needed,total_rtt_sample,rtt_sample,rtt_sample_ratio,rtt_avg,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rtt_conf_interval_90,rtt_conf_interval_90_ratio,rtt_sample_needed
-87.684,41.8835,88,66536,88,176930,449,56140,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.8775,224,925,224,176930,224,66536,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,474,99,0.2088607594936709,195,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.8775,224,925,None,None,224,55340,224,56140,224,55942,None,None,None,None,None,None,LTE,474,104,0.21940928270042195,195,104,0.5333333333333333,4.420670769230768,2.549554726645605,0.0,1.298144,2.49864,4.078239999999999,6.462,7.892256000000001,10.339199999999998,0.41125725388496337,0.09303050947549424,90.00862721000823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.8775,88,66536,None,None,449,55744,449,56140,449,55942,None,None,None,None,None,None,LTE,474,91,0.19198312236286919,195,91,0.4666666666666667,57.28946637362637,23.736724478158102,0.0,30.47552,46.44896,58.78847999999999,71.77152,81.35296,150.39167999999998,4.093228552571406,0.0714481878025618,46.45407621645829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.8775,88,66536,None,None,449,55942,449,55744,449,56140,None,None,None,None,None,None,LTE,474,92,0.1940928270042194,195,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.8775,88,66536,None,None,88,2561,88,925,None,None,None,None,None,None,None,None,LTE,474,88,0.18565400843881857,195,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.878,224,925,224,176930,224,66536,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,317,76,0.23974763406940064,129,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.878,224,925,None,None,224,55340,224,56140,224,55942,None,None,None,None,None,None,LTE,317,68,0.21451104100946372,129,68,0.5271317829457365,2.0391199999999996,1.7987364687337999,0.0,0.0,1.03392,1.5508799999999998,2.5560799999999997,4.779008,8.616,0.3588219366346988,0.1759690143957682,210.56263938644292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.878,88,66536,447,2071667,88,925,None,None,88,2561,None,None,None,None,None,None,LTE+MW,317,34,0.10725552050473186,129,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-87.6835,41.878,88,66536,None,None,449,55744,449,56140,449,55942,None,None,None,None,None,None,LTE,317,61,0.19242902208201892,129,61,0.4728682170542636,66.4890124590164,46.65145620601202,0.0,31.276799999999998,38.33632,47.509119999999996,78.84159999999999,132.73919999999998,215.56736,9.825760845472743,0.14778021934871283,133.2178587075974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
