timestamp,speed,time,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,cell_set_type
1621299706,48.48592,0,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,37.97552,0.109999895,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,20.92784,0.210000038,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,0.90368,0.319999933,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,23.0496,0.420000076,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,48.64016,0.529999971,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,27.00192,0.640000105,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,18.26576,0.75,437,850,288,2259995,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE+MW
1621299707,18.26576,0.859999895,437,850,None,None,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE
1621299707,46.91584,0.960000038,437,850,None,None,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE
1621299708,47.80864,1.069999933,437,850,None,None,178,52740,396,52941,397,53139,None,None,None,None,None,None,LTE
1621299708,38.75264,1.170000076,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,12.21888,1.279999971,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,4.68448,1.390000105,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,1.7856,1.5,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,1.7856,1.609999895,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,0.79344,1.710000038,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,0.79344,1.819999933,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299708,0.11568,1.920000076,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.11568,2.029999971,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.11568,2.140000105,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.11568,2.25,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.11568,2.359999895,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.23136,2.460000038,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,0.23136,2.569999933,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,31.0032,2.670000076,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,35.022,2.779999971,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,68.95152,2.890000105,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299709,64.86176,3,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,58.4352,3.109999895,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,73.4496,3.210000038,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,105.17008,3.319999933,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,75.5496,3.420000076,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,76.652,3.529999971,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,97.66288,3.640000105,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,97.66288,3.75,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,87.284,3.859999895,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299710,80.52672,3.960000038,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299711,72.46288,4.069999933,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299711,79.40256,4.170000076,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
1621299711,59.17968,4.279999971,437,850,593,2259995,None,None,None,None,None,None,593,2261661,593,2263327,593,2264993,LTE+MW
