time,lat,lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,cell_set_type,cell_set_type_v2,throughput,rtt,disruption,thput_confidence_level,bw,time_delta,cell_num,width,avg_speed
1640549457,-86.16177728,39.76822124,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,31.95376,None,None,1,420,269.8900001,5,420,53.77412
1640549458,-86.16177732,39.76822127,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,70.28384,None,None,1,420,270.96,5,420,29.297464
1640549459,-86.16177741,39.76822141,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,83.00352,None,None,1,420,272.0300002,5,420,92.76062399999999
1640549460,-86.16177749,39.76822154,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,56.15696,None,None,1,420,273.1000001,5,420,53.157744
1640549461,-86.16177758,39.76822168,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,36.13264,None,None,1,420,274.1700001,5,420,43.046248
1640549462,-86.16177766,39.76822181,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,57.02784,None,None,1,420,275.25,5,420,49.330224
1640549463,-86.16177774,39.76822193,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,58.71264,None,None,1,420,276.3100002,5,420,53.082992000000004
1640549464,-86.16177782,39.76822205,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,65.2672,None,None,1,420,277.3900001,5,420,59.418064
1640549465,-86.16177789,39.76822217,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,45.50848,None,None,1,420,278.46,5,420,56.304576
1640549466,-86.16177798,39.76822231,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,75.47056,None,None,1,420,279.5300002,5,420,71.098784
1640549467,-86.161778,39.7682224,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,83.83504,None,None,1,420,280.6000001,5,420,79.750496
1640549469,-86.16177788,39.76822242,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,84.78912,None,None,1,420,281.6700001,5,420,85.43272
1640549470,-86.16177781,39.76822247,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,94.67808,None,None,1,420,282.75,5,420,85.127232
1640549471,-86.1617779,39.7682226,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,106.75952,None,None,1,420,283.8100002,5,420,101.19598399999998
1640549472,-86.16177798,39.76822273,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,112.27152,None,None,1,420,284.8900001,5,420,107.05528
1640549473,-86.16177802,39.76822288,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,113.13712,None,None,1,420,285.96,5,420,113.35992000000002
1640549474,-86.16177806,39.768223,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,54.19568,None,None,1,420,287.0300002,5,420,101.206864
1640549475,-86.16177815,39.76822313,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,142.94944,None,None,1,420,288.1000001,5,420,143.01764799999998
1640549476,-86.16177822,39.76822326,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,181.91168,None,None,1,420,289.1700001,5,420,167.364304
1640549477,-86.16177828,39.76822337,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,229.60352,None,None,1,420,290.25,5,420,205.62843199999998
1640549478,-86.16177836,39.7682235,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,208.20608,None,None,1,420,291.3100002,5,420,168.610032
1640549479,-86.16177839,39.7682236,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,228.41264,None,None,1,420,292.3900001,5,420,200.20000000000002
1640549480,-86.16177844,39.76822366,306,850,977,2259995,None,None,None,None,None,None,977,2261661,977,2263327,977,2264993,LTE+MW,LTE+5GM,170.18272,None,None,1,420,293.46,5,420,196.87664
