timestamp,thputPerSecond,time_delay,thputPerSecond_kbps
1640549187,39.734375,-2.970000029,40688
1640549188,205.2109375,-1.959000111,210136
1640549189,205.0390625,-0.954999924,209960
1640549190,199.9375,0.052000046,204736
1640549191,156.9921875,1.071000099,160760
1640549192,162.6484375,2.114000082,166552
1640549193,169.125,3.127000093,173184
1640549194,173.359375,4.134000063,177520
1640549195,183.4921875,5.140000105,187896
1640549196,169.0625,6.161000013,173120
1640549197,190.7578125,7.20600009,195336
1640549198,211.578125,8.214999914,216656
1640549199,203.84375,9.223999977,208736
1640549200,202.65625,10.26799989,207520
1640549201,226.7890625,11.27399993,232232
1640549202,226.7578125,12.31699991,232200
1640549203,193.5,13.33699989,198144
1640549204,291.96875,14.35500002,298976
1640549205,277.171875,15.4000001,283824
1640549206,324.3671875,16.42000008,332152
1640549207,118.4296875,17.46000004,121272
1640549208,269.7734375,18.47799993,276248
1640549209,207.375,19.48300004,212352
1640549211,200.5546875,20.51799989,205368
1640549212,237.7109375,21.53800011,243416
1640549213,225.3828125,22.56399989,230792
1640549214,204.40625,23.59599996,209312
1640549215,235.90625,24.62400007,241568
1640549216,183.40625,25.64400005,187808
1640549217,200.8046875,26.671,205624
1640549218,190.71875,27.71600008,195296
1640549219,182.546875,28.727,186928
1640549220,136.53125,29.74099994,139808
1640549221,163.109375,30.75399995,167024
1640549222,152.8046875,31.78800011,156472
1640549223,154.390625,32.83100009,158096
1640549224,114.0078125,33.86299992,116744
1640549225,188.0546875,34.86800003,192568
1640549226,166.5390625,35.88100004,170536
1640549227,188.3671875,36.90700006,192888
1640549228,193.2421875,37.95099998,197880
1640549229,152.078125,38.95600009,155728
1640549230,90.4375,39.98200011,92608
1640549231,164.828125,41.00600004,168784
1640549232,179,42.01300001,183296
1640549233,85.9609375,43.03600001,88024
1640549234,163.109375,44.04099989,167024
1640549235,135.78125,45.05800009,139040
1640549236,108.2109375,46.06699991,110808
1640549237,126.8203125,47.1099999,129864
1640549238,132.25,48.13400006,135424
1640549239,119.4453125,49.17499995,122312
1640549240,135.046875,50.1960001,138288
1640549241,146.234375,51.24499989,149744
1640549242,146.3828125,52.26699996,149896
1640549243,140.3046875,53.27099991,143672
1640549244,171.0625,54.31299996,175168
1640549245,153.40625,55.34699988,157088
1640549246,189.75,56.35500002,194304
1640549247,181.015625,57.36400008,185360
1640549248,169.75,58.37700009,173824
1640549249,183.7890625,59.3829999,188200
1640549250,157.9296875,60.4059999,161720
1640549251,150.578125,61.42700005,154192
1640549252,139.6640625,62.46600008,143016
1640549253,140.2578125,63.47600007,143624
1640549255,153.4375,64.51699996,157120
1640549256,199.9296875,65.546,204728
1640549257,171.734375,66.56500006,175856
1640549258,82.1171875,67.5769999,84088
1640549259,182.640625,68.58699989,187024
1640549260,156.0546875,69.59299994,159800
1640549261,147.140625,70.61899996,150672
1640549262,168.140625,71.66400003,172176
1640549263,173.28125,72.69700003,177440
1640549264,161.3203125,73.70600009,165192
1640549265,134.21875,74.75300002,137440
1640549266,0,75.92400002,0
1640549267,0,76.96399999,0
1640549268,0,77.99300003,0
1640549269,0.1640625,79.03800011,168
1640549270,36.609375,80.05100012,37488
1640549271,40.8515625,81.0940001,41832
1640549272,25.5703125,82.1400001,26184
1640549273,44.5390625,83.14599991,45608
1640549274,44.2265625,84.15300012,45288
1640549275,31.515625,85.19899988,32272
1640549276,20.8828125,86.21700001,21384
1640549277,26.59375,87.23699999,27232
1640549278,29.5703125,88.27999997,30280
1640549279,20.0390625,89.30999994,20520
1640549280,15.9609375,90.32599998,16344
1640549281,16.0859375,91.33699989,16472
1640549282,15,92.3440001,15360
1640549283,19.2734375,93.375,19736
1640549284,15.3515625,94.40899992,15720
1640549285,12.6796875,95.44499993,12984
1640549286,13.1640625,96.48699999,13480
1640549287,15.8671875,97.49499989,16248
1640549289,21.125,98.53900003,21632
1640549290,17.4609375,99.56800008,17880
1640549291,13.8125,100.5769999,14144
1640549292,10.625,101.5940001,10880
1640549293,15,102.608,15360
1640549294,9.546875,103.619,9776
1640549295,12.2578125,104.642,12552
1640549296,13.0546875,105.664,13368
1640549297,10.6328125,106.711,10888
1640549298,12.046875,107.7420001,12336
1640549299,11.234375,108.7750001,11504
1640549300,13.328125,109.7880001,13648
1640549301,12.984375,110.826,13296
1640549302,14.15625,111.846,14496
1640549303,10.921875,112.8629999,11184
1640549304,9.796875,113.914,10032
1640549305,12.671875,114.9560001,12976
1640549306,8.7578125,115.9949999,8968
1640549307,7.3515625,117.013,7528
1640549308,10.5390625,118.0239999,10792
1640549309,15.375,119.0320001,15744
1640549310,15.5703125,120.0439999,15944
1640549311,12.390625,121.0550001,12688
1640549312,8.3515625,122.075,8552
1640549313,10.890625,123.085,11152
1640549314,15.359375,124.1029999,15728
1640549315,12.75,125.152,13056
1640549316,7.3671875,126.1949999,7544
1640549317,6.4921875,127.2420001,6648
1640549318,4.9921875,128.2639999,5112
1640549319,8.078125,129.2750001,8272
1640549320,8.4609375,130.3,8664
1640549321,7.9140625,131.3180001,8104
1640549322,8.21875,132.3280001,8416
1640549323,7.140625,133.362,7312
1640549324,7.40625,134.369,7584
1640549325,9.3125,135.3789999,9536
1640549326,3.4765625,136.425,3560
1640549327,0,137.4579999,0
1640549329,0,138.5050001,0
1640549330,0,139.5569999,0
1640549331,0.875,140.5639999,896
1640549332,17.09375,141.608,17504
1640549333,2.1640625,142.651,2216
1640549334,0.078125,143.665,80
1640549335,32.125,144.6789999,32896
1640549336,31.71875,145.7260001,32480
1640549337,42.1015625,146.773,43112
1640549338,42.96875,147.7850001,44000
1640549339,38.0078125,148.7939999,38920
1640549340,35.8515625,149.8499999,36712
1640549341,65.0078125,150.904,66568
1640549342,86.5234375,151.95,88600
1640549343,160.359375,152.9979999,164208
1640549344,110.65625,154.013,113312
1640549345,113.8203125,155.027,116552
1640549346,121.2109375,156.0409999,124120
1640549347,129.1796875,157.0880001,132280
1640549348,136.171875,158.1340001,139440
1640549349,140.109375,159.148,143472
1640549350,147.0234375,160.1849999,150552
1640549351,151.4296875,161.198,155064
1640549352,160.421875,162.2360001,164272
1640549353,165.9921875,163.256,169976
1640549354,175.4921875,164.3,179704
1640549355,189.390625,165.3080001,193936
1640549356,183.0703125,166.3199999,187464
1640549357,221.75,167.3380001,227072
1640549358,171.4375,168.3499999,175552
1640549359,233.6640625,169.3629999,239272
1640549360,233.890625,170.3789999,239504
1640549361,232.4609375,171.4059999,238040
1640549362,44.8203125,172.4100001,45896
1640549363,125.875,173.4200001,128896
1640549364,120.171875,174.441,123056
1640549365,107.34375,175.4749999,109920
1640549366,82.296875,176.497,84272
1640549368,58.71875,177.7190001,60128
1640549369,153.8203125,178.7379999,157512
1640549370,247.140625,179.777,253072
1640549371,177.203125,180.8180001,181456
1640549372,180.921875,181.858,185264
1640549373,183.71875,182.895,188128
1640549374,186.5078125,183.921,190984
1640549375,191.5859375,184.9360001,196184
1640549376,198.828125,185.954,203600
1640549377,206.5234375,186.9679999,211480
1640549378,213.6796875,187.9790001,218808
1640549379,218.0703125,188.9920001,223304
1640549380,198.8359375,189.9979999,203608
1640549381,155.3515625,191.043,159080
1640549382,119.171875,192.1459999,122032
1640549383,0,193.2420001,0
1640549384,0,194.2590001,0
1640549385,0,195.2690001,0
1640549386,13.4921875,196.3139999,13816
1640549387,78.6796875,197.355,80568
1640549388,45.359375,198.3770001,46448
1640549389,18.5625,199.4130001,19008
1640549390,70.625,200.45,72320
1640549391,68.3671875,201.457,70008
1640549392,55.765625,202.4779999,57104
1640549393,63.359375,203.4949999,64880
1640549395,68.53125,204.5239999,70176
1640549396,78.125,205.5569999,80000
1640549397,85.1171875,206.5650001,87160
1640549398,91.4921875,207.5780001,93688
1640549399,98.40625,208.5899999,100768
1640549400,106.7265625,209.6340001,109288
1640549401,113.8359375,210.6470001,116568
1640549402,133.4140625,211.6719999,136616
1640549403,172.34375,212.697,176480
1640549404,216.5234375,213.7449999,221720
1640549405,270.546875,214.7909999,277040
1640549406,331.5546875,215.7969999,339512
1640549407,339.21875,216.8440001,347360
1640549408,342.671875,217.8540001,350896
1640549409,347.515625,218.901,355856
1640549410,295.5859375,219.954,302680
1640549411,122.375,220.9619999,125312
1640549412,187.546875,221.994,192048
1640549413,177.78125,223.0369999,182048
1640549414,29.78125,224.069,30496
1640549415,162.640625,225.0769999,166544
1640549416,208.4921875,226.1029999,213496
1640549417,199.3515625,227.1210001,204136
1640549418,193.6875,228.1289999,198336
1640549419,241.921875,229.1689999,247728
1640549420,176.328125,230.2019999,180560
1640549421,212.9921875,231.221,218104
1640549422,199.625,232.2639999,204416
1640549423,194.03125,233.3069999,198688
1640549424,224.59375,234.326,229984
1640549425,228.8515625,235.348,234344
1640549426,225.734375,236.3670001,231152
1640549427,224.6171875,237.381,230008
1640549428,173.59375,238.415,177760
1640549429,199.078125,239.4579999,203856
1640549431,30.421875,241.224,31152
1640549432,0,242.2390001,0
1640549433,0,243.2839999,0
1640549434,0.0078125,244.3369999,8
1640549435,39.84375,245.381,40800
1640549436,68.5859375,246.4130001,70232
1640549437,32.0078125,247.434,32776
1640549438,48.7421875,248.4619999,49912
1640549439,22.421875,249.4890001,22960
1640549441,84.2109375,250.5150001,86232
1640549442,55.421875,251.539,56752
1640549443,48.078125,252.5650001,49232
1640549444,45.0859375,253.5799999,46168
1640549445,50.2109375,254.596,51416
1640549446,56.3828125,255.6070001,57736
1640549447,61.375,256.618,62848
